mainid,midid,lastid,lastname,eduid,result,n_lastname,jeiba_lastname
2,203,20301,工業教育學系,140301,工業(Na) 教育(Na) 學系(Na),工業 教育 學系,工業 教育 學系
2,203,20301,工業教育與技術學系,140301,工業(Na) 教育(Na) 技術(Na) 學系(Na),工業 教育 技術 學系,工業 教育 與 技術 學系
2,203,20302,科技教育學系,140302,科技(Na) 教育(Na) 學系(Na),科技 教育 學系,科技 教育 學系
2,203,20302,工業科技教育學系,140302,工業(Na) 科技(Na) 教育(Na) 學系(Na),工業 科技 教育 學系,工業 科技 教育 學系
2,203,20303,商業教育學系,140303,商業(Na) 教育(Na) 學系(Na),商業 教育 學系,商業 教育 學系
2,203,20304,衛生教育學系,140304,衛生(Na) 教育(Na) 學系(Na),衛生 教育 學系,衛生 教育 學系
2,203,20305,生態與環境教育學系,140305,生態(Na) 環境(Na) 教育(Na) 學系(Na),生態 環境 教育 學系,生態 與 環境 教育 學系
2,203,20305,環境教育學系,140305,環境(Na) 教育(Na) 學系(Na),環境 教育 學系,環境 教育 學系
2,203,20306,環境教育與資源研究所,140306,環境(Na) 教育(Na) 資源(Na) 研究所(Nc),環境 教育 資源 研究所,環境 教育 與 資源 研究所
2,203,20307,資訊教育學系,140307,資訊(Na) 教育(Na) 學系(Na),資訊 教育 學系,資訊 教育 學系
2,203,20308,音樂教育學系,140308,音樂(Na) 教育(Na) 學系(Na),音樂 教育 學系,音樂 教育 學系
2,203,20308,音樂藝術教育學系,140308,音樂(Na) 藝術(Na) 教育(Na) 學系(Na),音樂 藝術 教育 學系,音樂 藝術 教育 學系
2,203,20309,傳統音樂教育研究所,140309,傳統(VH) 音樂(Na) 教育(Na) 研究所(Nc),傳統 音樂 教育 研究所,傳統 音樂 教育 研究所
2,203,20310,美勞教育學系,140310,美勞(Na) 教育(Na) 學系(Na),美勞 教育 學系,美勞 教育 學系
2,203,20311,藝術教育學系,140311,藝術(Na) 教育(Na) 學系(Na),藝術 教育 學系,藝術 教育 學系
2,203,20311,藝術與教育學系,140311,藝術(Na) 教育(Na) 學系(Na),藝術 教育 學系,藝術 與 教育 學系
2,203,20312,藝術與人文教育研究所,140312,藝術(Na) 人文(Na) 教育(Na) 研究所(Nc),藝術 人文 教育 研究所,藝術 與 人文 教育 研究所
2,203,20313,視覺藝術教育學系,140313,視覺(Na) 藝術(Na) 教育(Na) 學系(Na),視覺 藝術 教育 學系,視覺 藝術 教育 學系
2,203,20314,醫護教育研究所,140314,教育(Na) 研究所(Nc),教育 研究所,醫護 教育 研究所
2,203,20315,體育學系,140315,體育(Na) 學系(Na),體育 學系,體育 學系
2,203,20316,運動教育研究所，運動與休閒教育研究所,140316,運動(Na) 教育(Na) 研究所(Nc) 運動(Na) 休閒(Nv) 教育(Na) 研究所(Nc),運動 教育 研究所 運動 休閒 教育 研究所,運動 教育 研究所 ， 運動 與 休閒 教育 研究所
2,203,20317,家政教育學系,140317,家政(Na) 教育(Na) 學系(Na),家政 教育 學系,家政 教育 學系
2,203,20318,農業教育學系,140318,農業(Na) 教育(Na) 學系(Na),農業 教育 學系,農業 教育 學系
2,203,20319,工藝教育學系,140319,工藝(Na) 教育(Na) 學系(Na),工藝 教育 學系,工藝 教育 學系
2,203,20320,藝術與人文教學研究所,140324,藝術(Na) 人文(Na) 教學(VA) 研究所(Nc),藝術 人文 教學 研究所,藝術 與 人 文教 學 研究所
2,203,20321,健康促進與衛生教育,,健康(VH) 促進(VK) 衛生(Na) 教育(Na),健康 促進 衛生 教育,健康 促進 與 衛生 教育
2,203,20322,生態休閒教育學位學程,140326,生態(Na) 休閒(Nv) 教育(Na) 學位(Na) 學程(Na),生態 休閒 教育 學位 學程,生態 休閒 教育 學位 學程
2,203,20323,餐旅教育研究所,140327,餐旅(Na) 教育(Na) 研究所(Nc),餐旅 教育 研究所,餐旅 教育 研究所
2,203,20324,環境教育及管理研究所,140328,環境(Na) 教育(Na) 管理(Na) 研究所(Nc),環境 教育 管理 研究所,環境 教育 及 管理 研究所
2,203,20325,體育與運動科學系,140329,體育(Na) 運動(Na) 科學(Na),體育 運動 科學,體育 與 運動 科學系
2,204,20401,幼兒教育學系,140401,幼兒(Na) 教育(Na) 學系(Na),幼兒 教育 學系,幼兒 教育 學系
2,204,20402,兒童發展與家庭教育學系,140402,兒童(Na) 發展(Na) 家庭(Na) 教育(Na) 學系(Na),兒童 發展 家庭 教育 學系,兒童 發展 與 家庭教育 學系
2,204,20403,幼稚園教師教學碩士班,,幼稚園(Nc) 教師(Na) 教學(Nv) 碩士班(Nc),幼稚園 教師 教學 碩士班,幼稚 園教師 教學 碩士班
2,204,20404,幼兒與家庭教育學系,140408,幼兒(Na) 家庭(Na) 教育(Na) 學系(Na),幼兒 家庭 教育 學系,幼兒 與 家庭教育 學系
2,204,20405,兒童教育暨事業經營學系,140409,兒童(Na) 教育(Na) 事業(Na) 經營(VC) 學系(Na),兒童 教育 事業 經營 學系,兒童 教育 暨 事業 經營 學系
2,205,20501,成人教育學系,140501,成人(Na) 教育(Na) 學系(Na),成人 教育 學系,成人教育 學系
2,205,20501,成人及繼續教育學系,140501,成人(Na) 繼續(VF) 教育(Na) 學系(Na),成人 繼續 教育 學系,成人 及 繼續 教育 學系
2,205,20502,高齡者教育研究所,140502,高齡(Na) 教育(Na) 研究所(Nc),高齡 教育 研究所,高齡者 教育 研究所
2,205,20503,職業繼續教育研究所,140503,職業(Na) 繼續(VF) 教育(Na) 研究所(Nc),職業 繼續 教育 研究所,職業 繼續 教育 研究所
2,205,20504,教育人力資源與發展學系,140504,教育(Na) 人力(Na) 資源(Na) 發展(Nv) 學系(Na),教育 人力 資源 發展 學系,教育 人力 資源 與 發展 學系
2,205,20505,成人及社區教育學系,140505,成人(Na) 社區(Nc) 教育(Na) 學系(Na),成人 社區 教育 學系,成人 及 社區 教育 學系
2,205,20506,終身學習與人力資源發展碩士學位學程,140506,學習(VC) 人力(Na) 資源(Na) 發展(VC) 碩士(Na) 學位(Na) 學程(Na),學習 人力 資源 發展 碩士 學位 學程,終身 學習 與 人力 資源 發展 碩士 學位 學程
2,205,20507,成人教育與人力發展學系,140507,成人(Na) 教育(Na) 人力(Na) 發展(VC) 學系(Na),成人 教育 人力 發展 學系,成人教育 與 人力 發展 學系
2,206,20601,特殊教育學系,140601,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系
2,206,20602,身心障礙者轉銜及休閒教育研究所,140602,身心(Na) 障礙(Na) 轉銜(VC) 休閒(Nv) 教育(Na) 研究所(Nc),身心 障礙 轉銜 休閒 教育 研究所,身心 障礙者 轉銜 及 休閒 教育 研究所
2,206,20603,身心障礙教育研究所,140603,身心(Na) 障礙(Na) 教育(Na) 研究所(Nc),身心 障礙 教育 研究所,身心 障礙 教育 研究所
2,206,20604,重度障礙研究所,140604,障礙(Na) 研究所(Nc),障礙 研究所,重度 障礙 研究所
2,206,20605,輔助科技研究所,140605,輔助(VC) 科技(Na) 研究所(Nc),輔助 科技 研究所,輔助 科技 研究所
2,206,20605,特殊教育與輔助科技研究所,140605,特殊(VH) 教育(Na) 輔助(VC) 科技(Na) 研究所(Nc),特殊 教育 輔助 科技 研究所,特殊教育 與 輔助 科技 研究所
2,206,20606,創造思考暨資賦優異教育研究所,140606,創造(VC) 思考(VE) 資賦(Na) 優異(VH) 教育(Na) 研究所(Nc),創造 思考 資賦 優異 教育 研究所,創造 思考 暨 資賦 優異 教育 研究所
2,206,20607,資賦優異研究所,140607,資賦(Na) 優異(VH) 研究所(Nc),資賦 優異 研究所,資賦 優異 研究所
2,206,20608,溝通障礙教育研究所,140608,溝通(VC) 障礙(Na) 教育(Na) 研究所(Nc),溝通 障礙 教育 研究所,溝通 障礙 教育 研究所
2,206,20609,輕度障礙教育研究所,140609,障礙(Na) 教育(Na) 研究所(Nc),障礙 教育 研究所,輕度 障礙 教育 研究所
2,207,20701,教育行政與政策學系,140701,教育(Na) 行政(Na) 政策(Na) 學系(Na),教育 行政 政策 學系,教育 行政 與 政策 學系
2,207,20702,教育行政研究所,140702,教育(Na) 行政(Na) 研究所(Nc),教育 行政 研究所,教育 行政 研究所
2,207,20702,教育行政與政策發展研究所,140702,教育(Na) 行政(Na) 政策(Na) 發展(Na) 研究所(Nc),教育 行政 政策 發展 研究所,教育 行政 與 政策 發展 研究所
2,207,20703,教育行政與評鑑研究所,140703,教育(Na) 行政(Na) 評鑑(VC) 研究所(Nc),教育 行政 評鑑 研究所,教育 行政 與 評鑑 研究所
2,207,20704,教育政策與行政學系,140704,教育(Na) 政策(Na) 行政學系(Na),教育 政策 行政學系,教育 政策 與 行政 學系
2,207,20705,教育政策與管理研究所,140705,教育(Na) 政策(Na) 管理(Na) 研究所(Nc),教育 政策 管理 研究所,教育 政策 與 管理 研究所
2,207,20706,教育政策與領導研究所,140706,教育(Na) 政策(Na) 領導(VC) 研究所(Nc),教育 政策 領導 研究所,教育 政策 與 領導 研究所
2,207,20707,教育經營與管理學系,140707,教育(Na) 經營(Nv) 管理(VC) 學系(Na),教育 經營 管理 學系,教育 經營 與 管理 學系
2,207,20708,教育領導與發展研究所,140708,教育(Na) 領導(Na) 發展(Na) 研究所(Nc),教育 領導 發展 研究所,教育 領導 與 發展 研究所
2,207,20709,學校行政碩士,140709,學校(Nc) 行政(Na) 碩士(Na),學校 行政 碩士,學校 行政 碩士
2,207,20710,教育行政與管理學系,140710,教育(Na) 行政(Na) 管理(Na) 學系(Na),教育 行政 管理 學系,教育 行政 與 管理 學系
2,207,20711,教育領導與評鑑研究所,140711,教育(Na) 領導(Na) 評鑑(VC) 研究所(Nc),教育 領導 評鑑 研究所,教育 領導 與 評鑑 研究所
2,208,20801,教育科技學系,140801,教育(Na) 科技(Na) 學系(Na),教育 科技 學系,教育 科技 學系
2,208,20802,教育傳播與科技研究所,140802,教育(Na) 傳播(Na) 科技(Na) 研究所(Nc),教育 傳播 科技 研究所,教育 傳播 與 科技 研究所
2,208,20803,教學科技研究所,140803,教學(Nv) 科技(Na) 研究所(Nc),教學 科技 研究所,教學 科技 研究所
2,208,20804,學習科技學系,140804,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,學習 科技 學系
2,208,20804,數位學習科技學系,140804,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,數位 學習 科技 學系
2,208,20805,網路學習科技研究所,140805,網路(Na) 學習(VC) 科技(Na) 研究所(Nc),網路 學習 科技 研究所,網路 學習 科技 研究所
2,208,20806,數位學習學系,140806,學習(VC) 學系(Na),學習 學系,數位 學習 學系
2,208,20806,數位學習設計與管理學系,140806,學習(VC) 設計(Na) 管理(Na) 學系(Na),學習 設計 管理 學系,數位 學習 設計 與 管理 學系
2,208,20807,教育資訊學系,140807,教育(Na) 資訊(Na) 學系(Na),教育 資訊 學系,教育 資訊學系
2,208,20808,教育資料科學學系,140808,教育(Na) 資料(Na) 科學學(Na),教育 資料 科學學,教育 資料 科學學系
2,208,20809,課程教學與科技研究所,140809,課程(Na) 教學(VA) 科技(Na) 研究所(Nc),課程 教學 科技 研究所,課程 教學 與 科技 研究所
2,208,20810,學習與數位科技學系教,,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,學習 與 數位 科技 學系教
2,208,20811,教學專業發展碩士,140811,教學(VA) 專業(VH) 發展(Na) 碩士(Na),教學 專業 發展 碩士,教學 專業 發展 碩士
2,208,20812,數位學習與教育研究所,140812,學習(VC) 教育(Na) 研究所(Nc),學習 教育 研究所,數位 學習 與 教育 研究所
2,208,20813,數位媒體與文教產業學系,140813,媒體(Na) 文教(Na) 產業(Na) 學系(Na),媒體 文教 產業 學系,數位 媒體 與 文教 產業 學系
2,208,20814,學習與媒材設計學系,140814,學習(VC) 媒材(Na) 設計(Na) 學系(Na),學習 媒材 設計 學系,學習 與 媒材 設計 學系
2,209,20901,測驗統計研究所,140901,測驗(Na) 統計(Na) 研究所(Nc),測驗 統計 研究所,測驗 統計 研究所
2,209,20901,教育測驗統計研究所,140901,教育(Na) 測驗(Na) 統計(Na) 研究所(Nc),教育 測驗 統計 研究所,教育 測驗 統計 研究所
2,210,21001,教育心裡與輔導研究所,,教育(Na) 輔導(VC) 研究所(Nc),教育 輔導 研究所,教育 心裡 與 輔導 研究所
2,210,21002,家庭教育研究所,149902,家庭(Na) 教育(Na) 研究所(Nc),家庭 教育 研究所,家庭教育 研究所
2,210,21003,性別教育研究所,149903,性別(Na) 教育(Na) 研究所(Nc),性別 教育 研究所,性別 教育 研究所
2,210,21004,生命教育研究所,149904,生命(Na) 教育(Na) 研究所(Nc),生命 教育 研究所,生命 教育 研究所
2,210,21004,生命教育與健康促進研究所,149904,生命(Na) 教育(Na) 健康(Nv) 促進(VK) 研究所(Nc),生命 教育 健康 促進 研究所,生命 教育 與 健康 促進 研究所
2,210,21005,休閒教育研究所,149905,休閒(Nv) 教育(Na) 研究所(Nc),休閒 教育 研究所,休閒 教育 研究所
2,210,21006,國際人力教育與發展研究所,149906,國際(Nc) 人力(Na) 教育(Na) 發展(Na) 研究所(Nc),國際 人力 教育 發展 研究所,國際 人力 教育 與 發展 研究所
2,210,21007,教育學院,149907,教育(Na) 學院(Nc),教育 學院,教育 學院
2,210,21008,教學視導學位學程,149908,教學(VA) 視導(Na) 學位(Na) 學程(Na),教學 視導 學位 學程,教學視 導學位 學程
2,210,21009,科技應用與人力資源發展學系,149909,科技(Na) 應用(Na) 人力(Na) 資源(Na) 發展(VC) 學系(Na),科技 應用 人力 資源 發展 學系,科技 應用 與 人力 資源 發展 學系
2,210,21010,教育視導與評鑑學位學程,149910,教育(Na) 視導(Na) 評鑑(VC) 學位(Na) 學程(Na),教育 視導 評鑑 學位 學程,教育 視導 與 評鑑 學位 學程
3,301,30101,美術學系,,美術(Nc) 學系(Na),美術 學系,美術 學系
3,301,30102,美術史研究所,210102,美術史(Na) 研究所(Nc),美術史 研究所,美術史 研究所
3,301,30103,版畫藝術研究所,210103,版畫(Na) 藝術(Na) 研究所(Nc),版畫 藝術 研究所,版畫 藝術 研究所
3,301,30104,書畫藝術學系,210104,書畫(Na) 藝術(Na) 學系(Na),書畫 藝術 學系,書畫 藝術 學系
3,301,30105,美術產業學系,210105,美術(Na) 產業(Na) 學系(Na),美術 產業 學系,美術 產業 學系
3,301,30105,美術產業發展學系,210105,美術(Na) 產業(Na) 發展(VC) 學系(Na),美術 產業 發展 學系,美術 產業 發展 學系
3,301,30106,美學與視覺藝術學系,210106,美學(Na) 視覺(Na) 藝術(Na) 學系(Na),美學 視覺 藝術 學系,美學 與 視覺 藝術 學系
3,301,30107,美術與文創學系,210107,美術(Na) 文創(Na) 學系(Na),美術 文創 學系,美術 與 文 創學系
3,302,30201,雕塑學系,210201,雕塑(Na) 學系(Na),雕塑 學系,雕塑 學系
3,303,30301,美術工藝系,210301,美術(Na) 工藝系(Nc),美術 工藝系,美術 工藝系
3,303,30302,工藝設計學系,210302,工藝(Na) 設計(Na) 學系(Na),工藝 設計 學系,工藝設 計學系
3,303,30303,傳統工藝學系,,傳統(VH) 工藝(Na) 學系(Na),傳統 工藝 學系,傳統 工藝學系
3,303,30303,傳統工藝與創意設計學系,,傳統(VH) 工藝(Na) 創意(Na) 設計(Na) 學系(Na),傳統 工藝 創意 設計 學系,傳統 工藝 與 創意 設計 學系
3,303,30304,工藝學系,210304,工藝學系(Na),工藝學系,工藝學系
3,304,30401,音樂學系,210401,音樂(Na) 學系(Na),音樂 學系,音樂學系
3,304,30402,中國音樂學系,210402,中國(Nc) 音樂(Na) 學系(Na),中國 音樂 學系,中國 音樂學系
3,304,30403,西洋音樂學系,210403,西洋(Nc) 音樂(Na) 學系(Na),西洋 音樂 學系,西洋 音樂學系
3,304,30404,音樂應用學系,210404,音樂(Na) 應用(Na) 學系(Na),音樂 應用 學系,音樂 應用 學系
3,304,30405,應用音樂學系,210405,應用(Na) 音樂(Na) 學系(Na),應用 音樂 學系,應用 音樂學系
3,304,30406,民族音樂學系,210406,民族(Na) 音樂(Na) 學系(Na),民族 音樂 學系,民族 音樂學系
3,304,30407,戲曲音樂學系,210407,戲曲(Na) 音樂(Na) 學系(Na),戲曲 音樂 學系,戲曲 音樂學系
3,304,30408,傳統音樂學系,210408,傳統(VH) 音樂(Na) 學系(Na),傳統 音樂 學系,傳統 音樂學系
3,304,30409,管絃與擊樂研究所,210409,管絃(Na) 擊樂(Na) 研究所(Nc),管絃 擊樂 研究所,管絃 與 擊樂 研究所
3,304,30410,音樂藝術研究所,210410,音樂(Na) 藝術(Na) 研究所(Nc),音樂 藝術 研究所,音樂 藝術 研究所
3,304,30411,音樂表演與創作研究所,210411,音樂(Na) 表演(Na) 創作(Na) 研究所(Nc),音樂 表演 創作 研究所,音樂 表演 與 創作 研究所
3,304,30412,鋼琴合作藝術研究所,210412,鋼琴(Na) 合作(VH) 藝術(Na) 研究所(Nc),鋼琴 合作 藝術 研究所,鋼琴 合作 藝術 研究所
3,304,30412,鋼琴伴奏合作藝術研究所,210412,鋼琴(Na) 伴奏(VA) 合作(VH) 藝術(Na) 研究所(Nc),鋼琴 伴奏 合作 藝術 研究所,鋼琴 伴奏 合作 藝術 研究所
3,305,30501,戲劇學系,210501,戲劇學系(Na),戲劇學系,戲劇 學系
3,305,30502,中國戲劇學系,210502,中國(Nc) 戲劇(Na) 學系(Na),中國 戲劇 學系,中國戲 劇學系
3,305,30503,歌仔戲學系,210503,歌仔戲(Na) 學系(Na),歌仔戲 學系,歌仔 戲學系
3,305,30504,京劇學系,210504,京劇(Na) 學系(Na),京劇 學系,京劇 學系
3,305,30505,客家戲學系,210505,客家戲(Na) 學系(Na),客家戲 學系,客家 戲學系
3,305,30506,劇場藝術學系,210506,劇場(Nc) 藝術(Na) 學系(Na),劇場 藝術 學系,劇場 藝術 學系
3,305,30506,劇場藝術創作學系,210506,劇場(Nc) 藝術(Na) 創作(VC) 學系(Na),劇場 藝術 創作 學系,劇場 藝術 創作 學系
3,305,30507,劇場設計學系,210507,劇場(Nc) 設計(Na) 學系(Na),劇場 設計 學系,劇場 設計 學系
3,305,30508,戲劇與劇場應用學系,210508,戲劇(Na) 劇場(Nc) 應用(Na) 學系(Na),戲劇 劇場 應用 學系,戲劇 與 劇場 應用 學系
3,305,30509,劇本創作研究所,210509,劇本(Na) 創作(VC) 研究所(Nc),劇本 創作 研究所,劇本 創作 研究所
3,305,30510,戲劇創作與應用學系,210510,戲劇(Na) 創作(VC) 應用(Na) 學系(Na),戲劇 創作 應用 學系,戲劇 創作 與 應用 學系
3,305,30511,舞蹈學系,210511,舞蹈(Na) 學系(Na),舞蹈 學系,舞蹈 學系
3,305,30512,休閒舞蹈系,210512,休閒(VA) 舞蹈系(Nc),休閒 舞蹈系,休閒 舞蹈系
3,305,30513,舞蹈表演研究所,210513,舞蹈(Na) 表演(Na) 研究所(Nc),舞蹈 表演 研究所,舞蹈 表演 研究所
3,305,30514,舞蹈創作研究所,210514,舞蹈(Na) 創作(Na) 研究所(Nc),舞蹈 創作 研究所,舞蹈 創作 研究所
3,305,30515,舞蹈理論研究所,210515,舞蹈(Na) 理論(Na) 研究所(Nc),舞蹈 理論 研究所,舞蹈 理論 研究所
3,305,30516,兒童戲劇研究所,210516,兒童(Na) 戲劇(Na) 研究所(Nc),兒童 戲劇 研究所,兒童 戲劇 研究所
3,305,30517,戲曲研究所,210520,戲曲(Na) 研究所(Nc),戲曲 研究所,戲曲 研究所
3,305,30518,舞蹈表演創作研究所,210521,舞蹈(Na) 表演(Na) 創作(Na) 研究所(Nc),舞蹈 表演 創作 研究所,舞蹈 表演 創作 研究所
3,305,30519,影劇藝術學系,210522,藝術(Na) 學系(Na),藝術 學系,影劇 藝術 學系
3,305,30520,模特兒與展演學系,210523,模特兒(Na) 展演學系(Nv),模特兒 展演學系,模特 兒 與 展演 學系
3,306,30601,電影學系,210601,電影(Na) 學系(Na),電影 學系,電影 學系
3,306,30602,電影創作學系,,電影(Na) 創作(Na) 學系(Na),電影 創作 學系,電影 創作 學系
3,306,30602,電影創作研究所,,電影(Na) 創作(Na) 研究所(Nc),電影 創作 研究所,電影 創作 研究所
3,306,30603,音像記錄研究所,210603,音像(Na) 記錄(Na) 研究所(Nc),音像 記錄 研究所,音像 記錄 研究所
3,306,30603,音像紀錄與影像維護研究所,210603,音像(Na) 紀錄(Na) 影像(Na) 維護(Nv) 研究所(Nc),音像 紀錄 影像 維護 研究所,音像 紀錄 與 影像 維護 研究所
3,306,30604,視覺藝術學系,210604,視覺(Na) 藝術(Na) 學系(Na),視覺 藝術 學系,視覺 藝術 學系
3,306,30605,音像動畫研究所,210605,音像(Na) 動畫(Na) 研究所(Nc),音像 動畫 研究所,音像 動畫 研究所
3,306,30606,造形藝術學系,210606,造形(Na) 藝術(Na) 學系(Na),造形 藝術 學系,造形 藝術 學系
3,306,30607,影劇學系,210607,影劇學系(Na),影劇學系,影劇 學系
3,306,30608,視覺藝術應用系,210608,視覺(Na) 藝術(Na) 應用(Na),視覺 藝術 應用,視覺 藝術 應用系
3,306,30609,創意藝術產業研究所,210611,創意(Na) 藝術(Na) 產業(Na) 研究所(Nc),創意 藝術 產業 研究所,創意 藝術 產業 研究所
3,306,30610,動畫藝術與影像美學研究所,210612,動畫(Na) 藝術(Na) 影像(Na) 美學(Na) 研究所(Nc),動畫 藝術 影像 美學 研究所,動畫 藝術 與 影像 美學 研究所
3,306,30611,視覺與媒體藝術學系,210613,視覺(Na) 媒體(Na) 藝術(Na) 學系(Na),視覺 媒體 藝術 學系,視覺 與 媒體 藝術 學系
3,306,30612,動畫學系,210614,動畫(Na) 學系(Na),動畫 學系,動畫 學系
3,306,30613,電影與電視學系,210615,電影(Na) 電視(Na) 學系(Na),電影 電視 學系,電影 與 電視 學系
3,307,30701,藝術學系,210701,藝術(Na) 學系(Na),藝術 學系,藝術 學系
3,307,30702,文化藝術學系,210702,文化(Na) 藝術(Na) 學系(Na),文化 藝術 學系,文化 藝術 學系
