mainid,lastname,result,n_lastname,jeiba_lastname
2,數位學習設計管理學系 ,學習(VC) 設計(Na) 管理(Na) 學系(Na),學習 設計 管理 學系,數位 學習 設計 管理 學系  
2,特教系,特教系(Nc),特教系,特教 系
2,體育系,體育系(Nc),體育系,體育系
2,體育學系,體育(Na) 學系(Na),體育 學系,體育 學系
2,  數理教育,數理(Na) 教育(Na),數理 教育,    數理 教育
2,  社會科教育,社會科(Na) 教育(Na),社會科 教育,    社會科 教育
2,  體育,體育(Na),體育,    體育
2,  特教,特教(Na),特教,    特教
3,  美術,美術(Na),美術,    美術
3,動畫,動畫(Na),動畫,動畫
3,傳統音樂學系 ,傳統(VH) 音樂(Na) 學系(Na),傳統 音樂 學系,傳統 音樂學系  
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計
3,音樂學系,音樂(Na) 學系(Na),音樂 學系,音樂學系
3,產品與媒體設計系,產品(Na) 媒體(Na) 設計系(Na),產品 媒體 設計系,產品 與 媒體 設計系
3,  時覺傳達,時覺(Ng) 傳達(VD),時覺 傳達,    時覺 傳達
3,創意產品與遊戲設計,創意(Na) 產品(Na) 遊戲(Na) 設計(Na),創意 產品 遊戲 設計,創意 產品 與 遊戲 設計
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系
3,  室內設計,設計(Na),設計,    室內 設計
3,數位媒體設計系,媒體(Na) 設計系(Na),媒體 設計系,數位 媒體 設計系
3,數位媒體設計系,媒體(Na) 設計系(Na),媒體 設計系,數位 媒體 設計系
3,舞蹈系,舞蹈系(Nc),舞蹈系,舞蹈系
3,室內設計,設計(Na),設計,室內 設計
3,音樂系,音樂系(Nc),音樂系,音樂系
3,  戲劇,戲劇(Na),戲劇,    戲劇
3,  商業設計,商業(Na) 設計(Na),商業 設計,    商業 設計
3,工藝設計 ,工藝(Na) 設計(Na),工藝 設計,工藝 設計  
3,  美術,美術(Na),美術,    美術
3,  商品設計,商品(Na) 設計(Na),商品 設計,    商品 設計
3,  音樂,音樂(Na),音樂,    音樂
3,  商業設計,商業(Na) 設計(Na),商業 設計,    商業 設計
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達
3,音樂系,音樂系(Nc),音樂系,音樂系
3,造形藝術學系,造形(Na) 藝術(Na) 學系(Na),造形 藝術 學系,造形 藝術 學系
3,  視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,    視覺 傳達 設計
3,商品設計系,商品(Na) 設計(Nc),商品 設計,商品 設計系
3,創意產品科技應用系,創意(Na) 產品(Na) 科技(Na) 應用(Na),創意 產品 科技 應用,創意 產品 科技 應用系
3,流行工藝設計,流行(VH) 工藝(Na) 設計(Na),流行 工藝 設計,流行 工藝 設計
3,  工業設計,工業(Na) 設計(Na),工業 設計,    工業 設計
3,媒體設計學系,媒體(Na) 設計(Na) 學系(Na),媒體 設計 學系,媒體 設計 學系
3,視傳系商品設計組,傳系(Na) 商品(Na) 設計組(Nc),傳系 商品 設計組,視傳系 商品 設計組
3,商業設計系 ,商業(Na) 設計系(Nc),商業 設計系,商業 設計系  
3,視覺傳達設計系(動畫組),視覺(Na) 傳達(VD) 設計系(Na) 動畫組(Nc),視覺 傳達 設計系 動畫組,視覺 傳達 設計系 ( 動畫組 )
3,  視覺傳播,視覺(Na) 傳播(VC),視覺 傳播,    視覺 傳播
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達
3,流行設計系,流行(VH) 設計系(Nc),流行 設計系,流行 設計系
3,音樂系,音樂系(Nc),音樂系,音樂系
3,室內設計系,設計(Nc),設計,室內 設計系
3,工業設計學系,工業(Na) 設計(Na) 學系(Na),工業 設計 學系,工業 設計 學系
3,商業設計系,商業(Na) 設計系(Nc),商業 設計系,商業 設計系
3,遊戲動化學程系 ,遊戲(Na) 動化(VHC) 學程(Nc),遊戲 動化 學程,遊戲 動化 學程系  
3,時尚設計與管理,時尚(Na) 設計(Na) 管理(Na),時尚 設計 管理,時尚 設計 與 管理
3,數位媒體 ,媒體(Na),媒體,數位 媒體  
3,視學傳達設計系,傳達(VD) 設計系(Nc),傳達 設計系,視學 傳達 設計系
3,視覺傳達科 ,視覺(Na) 傳達(VD),視覺 傳達,視覺 傳達科  
3,情報設計系(台灣算平面設計),情報(Na) 設計系(Nc) 台灣(Nc) 平面(Na) 設計(Na),情報 設計系 台灣 平面 設計,情報 設計系 ( 台灣算 平面 設計 )
3,商設系,商設系(Nc),商設系,商設系
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,應用英語系,應用(Na) 英語系(Nc),應用 英語系,應用 英語系
4,台灣語文學系,台灣(Nc) 語文(Na) 學系(Na),台灣 語文 學系,台灣語 文學系
4,  應用英語,應用(Na) 英語(Na),應用 英語,    應用 英語
4,應用英語系,應用(Na) 英語系(Nc),應用 英語系,應用 英語系
4,中文系,中文系(Nc),中文系,中文系
4,应用英語系,应用(VC) 英語系(Nc),应用 英語系,应用 英語系
4,宗教文化與組織管理,宗教(Na) 文化(Na) 組織(Na) 管理(Na),宗教 文化 組織 管理,宗教 文化 與 組織 管理
4,  台灣文學,台灣(Nc) 文學(Na),台灣 文學,    台灣 文學
4,生態人文學系,生態(Na) 人文(Na) 學系(Na),生態 人文 學系,生態 人文 學系
4,應用日文,應用(Na) 日文(Na),應用 日文,應用 日文
4,日文系,日文系(Nc),日文系,日文系
4,  中文,中文(Na),中文,    中文
4,中國文學系,中國(Nc) 文學系(Nc),中國 文學系,中國 文學系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,英文系,英文系(Nc),英文系,英文系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,翻譯系,翻譯系(Nc),翻譯系,翻譯系
4,  日文,日文(Na),日文,    日文
4,應用華語系,應用(Na) 華語系(Nc),應用 華語系,應用 華語系
4,  人類學,人類學(Na),人類學,    人類學
4,  日文,日文(Na),日文,    日文
4,  外文,外文(Na),外文,    外文
4,中國語文學系,中國(Nc) 語文(Na) 學系(Na),中國 語文 學系,中國語 文學系
4,  外語系英語教學組,外語系(Nc) 英語(Na) 教學組(Nc),外語系 英語 教學組,    外語 系英語 教學組
4,  日本語文,日本(Nc) 語文(Na),日本 語文,    日本 語文
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,  法文,法文(Na),法文,    法文
4,中文系,中文系(Nc),中文系,中文系
4,  社會,社會(Na),社會,    社會
4,  國文,國文(Na),國文,    國文
4,日文系,日文系(Nc),日文系,日文系
4,西班牙文,西班牙文(Na),西班牙文,西班牙文
4,外國語文學系,外國(Nc) 語文(Na) 學系(Na),外國 語文 學系,外國語 文學系
4,  外語,外語(Na),外語,    外語
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,  中文,中文(Na),中文,    中文
4,歷史學系,歷史(Na) 學系(Na),歷史 學系,歷史 學系
4,西班牙文,西班牙文(Na),西班牙文,西班牙文
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,應用英語科,應用(Na) 英語科(Na),應用 英語科,應用 英語科
4,日文系,日文系(Nc),日文系,日文系
4,英文系,英文系(Nc),英文系,英文系
4,  日文,日文(Na),日文,    日文
4,哲學,哲學(Na),哲學,哲學
4,歷史系,歷史系(Nc),歷史系,歷史系
4,應用日語系,應用(Na) 日語系(Nc),應用 日語系,應用 日 語系
4,應用日語系,應用(Na) 日語系(Nc),應用 日語系,應用 日 語系
4,日文系,日文系(Nc),日文系,日文系
4,  嬰用外語,嬰用(Na) 外語(Na),嬰用 外語,    嬰用 外語
4,  歷史,歷史(Na),歷史,    歷史
4,  國文,國文(Na),國文,    國文
4,法國語文學系,法國(Nc) 語文(Na) 學系(Na),法國 語文 學系,法國語 文學系
4,華語文學系,華語文(Nc) 學系(Na),華語文 學系,華語 文學系
4,哲學系,哲學系(Nc),哲學系,哲學系
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語
4,歷史系 ,歷史系(Nc),歷史系,歷史系  
4,英語學系,英語(Na) 學系(Na),英語 學系,英語 學系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,日文,日文(Na),日文,日文
4,  英語,英語(Na),英語,    英語
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,國文系,國文系(Nc),國文系,國文系
4,日文學系,日文(Na) 學系(Na),日文 學系,日文 學系
4,應用外語系 ,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系  
4,英文,英文(Na),英文,英文
4,英文系,英文系(Nc),英文系,英文系
4,  日本與文學系,日本(Nc) 文學系(Nc),日本 文學系,    日本 與 文學系
4,  德文,德文(Na),德文,    德文
4,  英文,英文(Na),英文,    英文
4,應用英文系 ,應用(Na) 英文系(Nc),應用 英文系,應用 英文系  
4,中文 ,中文(Na),中文,中文  
4,應用外文系,應用(Na) 外文系(Nc),應用 外文系,應用 外文系
4,英文系,英文系(Nc),英文系,英文系
4,應用英語系,應用(Na) 英語系(Nc),應用 英語系,應用 英語系
4,應用日語系,應用(Na) 日語系(Nc),應用 日語系,應用 日 語系
4,歷史系,歷史系(Nc),歷史系,歷史系
4,應用日語系,應用(Na) 日語系(Nc),應用 日語系,應用 日 語系
4,應用英文,應用(Na) 英文(Na),應用 英文,應用 英文
4,  外文,外文(Na),外文,    外文
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,  應用英文,應用(Na) 英文(Na),應用 英文,    應用 英文
4,歷史系,歷史系(Nc),歷史系,歷史系
4,應用外語日文,應用(Na) 外語(Na) 日文(Na),應用 外語 日文,應用 外語 日文
4,中國文學,中國(Nc) 文學(Na),中國 文學,中國 文學
4,  哲學,哲學(Na),哲學,    哲學
4,  中文,中文(Na),中文,    中文
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系
4,外國語文學系,外國(Nc) 語文(Na) 學系(Na),外國 語文 學系,外國語 文學系
4,宗教,宗教(Na),宗教,宗教
4,  中文,中文(Na),中文,    中文
4,英美語文學系,美語(Nc) 文學系(Na),美語 文學系,英美 語文學系
4,應用日文系 ,應用(Na) 日文系(Nc),應用 日文系,應用 日文系  
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,歐洲語文系,歐洲(Nc) 語文系(Nc),歐洲 語文系,歐洲 語文系
4,  日文,日文(Na),日文,    日文
4,日文,日文(Na),日文,日文
4,西班牙文,西班牙文(Na),西班牙文,西班牙文
4,  應用英語,應用(Na) 英語(Na),應用 英語,    應用 英語
4,國語文學系,國語文(Na) 學系(Na),國語文 學系,國語 文學系
4,英國語文 ,英國(Nc) 語文(Na),英國 語文,英國 語文  
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系
4,歷史系,歷史系(Nc),歷史系,歷史系
4,英語系,英語系(Nc),英語系,英語系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,  英美語文學,美語(Nc) 文學(Na),美語 文學,    英美 語文學
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,哲學系,哲學系(Nc),哲學系,哲學系
4,  應用英文,應用(Na) 英文(Na),應用 英文,    應用 英文
4,哲學系 ,哲學系(Nc),哲學系,哲學系  
4,  日本語文,日本(Nc) 語文(Na),日本 語文,    日本 語文
4,中國文學系,中國(Nc) 文學系(Nc),中國 文學系,中國 文學系
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語
4,  外國語文,外國(Nc) 語文(Na),外國 語文,    外國 語文
4,中文系,中文系(Nc),中文系,中文系
4,中文系,中文系(Nc),中文系,中文系
4,  中國文學,中國(Nc) 文學(Na),中國 文學,    中國 文學
4,應用日文系 ,應用(Na) 日文系(Nc),應用 日文系,應用 日文系  
4,外文系,外文系(Nc),外文系,外文系
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,應用英語 ,應用(Na) 英語(Na),應用 英語,應用 英語  
4,外文系,外文系(Nc),外文系,外文系
4,  日文,日文(Na),日文,    日文
4,  日文,日文(Na),日文,    日文
4,英語學系,英語(Na) 學系(Na),英語 學系,英語 學系
4,  英國語文,英國(Nc) 語文(Na),英國 語文,    英國 語文
4,應用外文系,應用(Na) 外文系(Nc),應用 外文系,應用 外文系
4,  中文,中文(Na),中文,    中文
4,法文系,法文系(Nc),法文系,法文系
4,西班牙語系,西班牙語系(Nc),西班牙語系,西班牙 語系
4,  西班牙,西班牙(Nc),西班牙,    西班牙
4,外語系,外語系(Nc),外語系,外語系
4,哲學系,哲學系(Nc),哲學系,哲學系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,  日本語文,日本(Nc) 語文(Na),日本 語文,    日本 語文
4,  哲學,哲學(Na),哲學,    哲學
4,外國語文學系,外國(Nc) 語文(Na) 學系(Na),外國 語文 學系,外國語 文學系
4,  外文,外文(Na),外文,    外文
4,日文系,日文系(Nc),日文系,日文系
4,歷史學係,歷史學(Na),歷史學,歷史學 係
4,哲學系 ,哲學系(Nc),哲學系,哲學系  
4,應用日語學系,應用(Na) 日語(Na) 學系(Na),應用 日語 學系,應用 日語 學系
4,華語文系,華語文系(Nc),華語文系,華語 文系
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語
4,  歷史,歷史(Na),歷史,    歷史
4,  哲學,哲學(Na),哲學,    哲學
4,  語文,語文(Na),語文,    語文
4,  應用英語,應用(Na) 英語(Na),應用 英語,    應用 英語
4,東亞語文學系,東亞(Nc) 語文(Na) 學系(Na),東亞 語文 學系,東亞語 文學系
4,英美語文學系,美語(Nc) 文學系(Na),美語 文學系,英美 語文學系
4,  英文,英文(Na),英文,    英文
4,應用外語 ,應用(Na) 外語(Na),應用 外語,應用 外語  
4,應用外語系 ,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系  
4,西班牙文系,西班牙文系(Nc),西班牙文系,西班牙文 系
4,義大利文系,義大利文系(Nc),義大利文系,義大 利文 系
4,應用日文,應用(Na) 日文(Na),應用 日文,應用 日文
4,日本語文學系,日本(Nc) 語文(Na) 學系(Na),日本 語文 學系,日本 語文學系
4,  應用日語,應用(Na) 日語(Na),應用 日語,    應用 日語
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,中文系,中文系(Nc),中文系,中文系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,臺灣文化學系,臺灣(Nc) 文化(Na) 學系(Na),臺灣 文化 學系,臺 灣 文化 學系
4,應用英語系,應用(Na) 英語系(Nc),應用 英語系,應用 英語系
4,  日文與英文,日文(Na) 英文(Na),日文 英文,    日文 與 英文
4,  外語,外語(Na),外語,    外語
4,  日文,日文(Na),日文,    日文
4,應用外語系 ,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系  
4,日文系,日文系(Nc),日文系,日文系
4,  英文,英文(Na),英文,    英文
4,翻譯系,翻譯系(Nc),翻譯系,翻譯系
4,日文,日文(Na),日文,日文
4,人文學系,人文學系(Na),人文學系,人文 學系
4,中文系 ,中文系(Nc),中文系,中文系  
4,應用日文系 ,應用(Na) 日文系(Nc),應用 日文系,應用 日文系  
4,英國語文 ,英國(Nc) 語文(Na),英國 語文,英國 語文  
4,  英國語文,英國(Nc) 語文(Na),英國 語文,    英國 語文
4,日本語文學系,日本(Nc) 語文(Na) 學系(Na),日本 語文 學系,日本 語文學系
4,英文系,英文系(Nc),英文系,英文系
4,  應用英語,應用(Na) 英語(Na),應用 英語,    應用 英語
4,應用日語,應用(Na) 日語(Na),應用 日語,應用 日語
4,中文系,中文系(Nc),中文系,中文系
4,法文系 ,法文系(Nc),法文系,法文系  
4,  應用英語,應用(Na) 英語(Na),應用 英語,    應用 英語
4,中國文學系,中國(Nc) 文學系(Nc),中國 文學系,中國 文學系
4,中文系,中文系(Nc),中文系,中文系
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系
4,  英文,英文(Na),英文,    英文
4,應用日語系 ,應用(Na) 日語系(Nc),應用 日語系,應用 日 語系  
4,中國文學 ,中國(Nc) 文學(Na),中國 文學,中國 文學  
4,  應用外文,應用(Na) 外文(Na),應用 外文,    應用 外文
4,  國文,國文(Na),國文,    國文
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語
4,應用日語科系,應用(Na) 日語(Na) 科系(Na),應用 日語 科系,應用 日語 科系
4,英國語文學系,英國(Nc) 語文(Na) 學系(Na),英國 語文 學系,英國語 文學系
4,英國文學,英國(Nc) 文學(Na),英國 文學,英國 文學
4,  應用外語系,應用(Na) 外語系(Nc),應用 外語系,    應用 外 語系
5,幼保系,幼保系(Nc),幼保系,幼保系
5,幼兒保育系,幼兒(Na) 保育系(Nc),幼兒 保育系,幼兒 保育 系
5,  經濟,經濟(Na),經濟,    經濟
5,  行政管理,行政(Na) 管理(VC),行政 管理,    行政 管理
5,幼保系 ,幼保系(Nc),幼保系,幼保系  
5,老人服務事業管理系,老人(Na) 服務(VC) 事業(Na) 管理(Nc),老人 服務 事業 管理,老人 服務事業 管理系
5,  政治,政治(Na),政治,    政治
5,社會學系,社會學系(Nc),社會學系,社會 學系
5,公共行政學系,行政(Na) 學系(Na),行政 學系,公共行政 學系
5,心理輔導系,心理(Na) 輔導(VC),心理 輔導,心理 輔導系
5,國際暨大陸事務學系,國際(Nc) 大陸(Nc) 事務(Na) 學系(Na),國際 大陸 事務 學系,國際 暨大 陸事務學系
5,老人服務事業管理,老人(Na) 服務(VC) 事業(Na) 管理(VC),老人 服務 事業 管理,老人 服務事業 管理
5,  公共行政,行政(Na),行政,    公共行政
5,社會系,社會系(Nc),社會系,社會系
5,  公共行政,行政(Na),行政,    公共行政
5,  社會工作,社會(Na) 工作(Na),社會 工作,    社會 工作
5,經濟學系,經濟學系(Na),經濟學系,經濟 學系
5,公共事務管理系 ,事務(Na) 管理系(Nc),事務 管理系,公共 事務 管理系  
5,地政系,地政系(Nc),地政系,地政系
5,社會工作系,社會(Na) 工作(Na),社會 工作,社會 工作 系
5,  公共行政,行政(Na),行政,    公共行政
5,經濟,經濟(Na),經濟,經濟
5,政治系國際關係組,政治系(Nc) 國際(Nc) 關係(Na),政治系 國際 關係,政治系 國際關 係 組
5,幼兒保育系,幼兒(Na) 保育系(Nc),幼兒 保育系,幼兒 保育 系
5,經濟系,經濟系(Nc),經濟系,經濟系
5,地理系,地理系(Nc),地理系,地理系
5,幼兒保育科系,幼兒(Na) 保育(Nv) 科系(Na),幼兒 保育 科系,幼兒 保育 科系
5,社會工作學系,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,地政系,地政系(Nc),地政系,地政系
5,  經濟,經濟(Na),經濟,    經濟
5,社會工作系,社會(Na) 工作(Na),社會 工作,社會 工作 系
5,  經濟,經濟(Na),經濟,    經濟
5,幼兒保育系,幼兒(Na) 保育系(Nc),幼兒 保育系,幼兒 保育 系
5,心理學系,心理學系(Nc),心理學系,心理 學系
5,  心理學,心理學(Na),心理學,    心理 學
5,勞工系,勞工系(Nc),勞工系,勞工系
5,心理系,心理系(Nc),心理系,心理系
5,社會工作系,社會(Na) 工作(Na),社會 工作,社會 工作 系
5,合作經濟學系,合作(VH) 經濟(Na) 學系(Na),合作 經濟 學系,合作 經濟 學系
5,社工系,社工系(Nc),社工系,社工 系
5,幼兒保育學系,幼兒(Na) 保育(Nv) 學系(Na),幼兒 保育 學系,幼兒 保育 學系
5,  公共行政,行政(Na),行政,    公共行政
5,經濟學系,經濟學系(Na),經濟學系,經濟 學系
5,社會福利,社會(Na) 福利(Na),社會 福利,社會 福利
5,  經濟,經濟(Na),經濟,    經濟
5,心理學,心理學(Na),心理學,心理 學
5,社會工作學系,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,老人服務事業管理系,老人(Na) 服務(VC) 事業(Na) 管理(Nc),老人 服務 事業 管理,老人 服務事業 管理系
5,心理諮商,心理(Na) 諮商(VE),心理 諮商,心理 諮 商
5,  經濟,經濟(Na),經濟,    經濟
5,嬰幼兒保育系,嬰幼兒(Na) 保育系(Nc),嬰幼兒 保育系,嬰幼兒 保育 系
5,經濟學系,經濟學系(Na),經濟學系,經濟 學系
5,  經濟,經濟(Na),經濟,    經濟
5,社會暨政策科學學系,社會(Na) 政策(Na) 科學(Na) 學系(Na),社會 政策 科學 學系,社會 暨 政策 科學學系
5,家庭研究與兒童發展係,家庭(Na) 研究(Nv) 兒童(Na) 發展(Na),家庭 研究 兒童 發展,家庭 研究 與 兒童 發展 係
5,文化與自然資源學系,文化(Na) 自然(Na) 資源(Na) 學系(Na),文化 自然 資源 學系,文化 與 自然 資源 學系
5,幼兒保育系,幼兒(Na) 保育系(Nc),幼兒 保育系,幼兒 保育 系
5,  社工,社工(Na),社工,    社工
5,經濟系,經濟系(Nc),經濟系,經濟系
5,家庭研究與兒童發展,家庭(Na) 研究(Nv) 兒童(Na) 發展(Na),家庭 研究 兒童 發展,家庭 研究 與 兒童 發展
5,心理學系,心理學系(Nc),心理學系,心理 學系
5,社会工作,社会(Nc) 工作(Na),社会 工作,社会工作
5,  勞動,勞動(VC),勞動,    勞動
5,社會工作系,社會(Na) 工作(Na),社會 工作,社會 工作 系
5,應用經濟學系 ,應用(Na) 經濟學系(Na),應用 經濟學系,應用 經濟 學系  
5,經濟學系,經濟學系(Na),經濟學系,經濟 學系
5,老人福利與事業系,老人(Na) 福利(Na) 事業系(Na),老人 福利 事業系,老人 福利 與 事業系
5,  公共行政,行政(Na),行政,    公共行政
5,幼保系,幼保系(Nc),幼保系,幼保系
5,公共行政暨政策學系,行政(Na) 政策(Na) 學系(Na),行政 政策 學系,公共行政 暨 政策 學系
5,社會工作學系,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,  合作經濟,合作(VH) 經濟(Na),合作 經濟,    合作 經濟
5,幼兒保育系,幼兒(Na) 保育系(Nc),幼兒 保育系,幼兒 保育 系
5,  政治,政治(Na),政治,    政治
5,  經濟,經濟(Na),經濟,    經濟
5,  經濟,經濟(Na),經濟,    經濟
5,社會福利學系,社會(Na) 福利(Na) 學系(Na),社會 福利 學系,社會 福利 學系
5,  勞工關係,勞工(Na) 關係(Na),勞工 關係,    勞工關 係
5,政治系,政治系(Nc),政治系,政治系
5,應用經濟系 ,應用(Na) 經濟系(Nc),應用 經濟系,應用 經濟系  
5,地理系,地理系(Nc),地理系,地理系
5,  心理學,心理學(Na),心理學,    心理 學
5,社會工作,社會(Na) 工作(Na),社會 工作,社會 工作
5,幼保,幼保(Na),幼保,幼保
5,  社工,社工(Na),社工,    社工
5,  政治,政治(Na),政治,    政治
5,  經濟,經濟(Na),經濟,    經濟
5,  社會工作,社會(Na) 工作(Na),社會 工作,    社會 工作
5,社會工作學系,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,經濟學系,經濟學系(Na),經濟學系,經濟 學系
5,  社會,社會(Na),社會,    社會
5,  社會福利學,社會(Na) 福利(Na),社會 福利,    社會 福利 學
5,社會工作學系,社會(Na) 工作(Na) 學系(Na),社會 工作 學系,社會 工作 學系
5,社工系,社工系(Nc),社工系,社工 系
5,地理系,地理系(Nc),地理系,地理系
5,  政治,政治(Na),政治,    政治
5,經濟系,經濟系(Nc),經濟系,經濟系
5,青少年兒童福利學系 ,青少年(Na) 兒童(Na) 福利(Na) 學系(Na),青少年 兒童 福利 學系,青少年 兒童 福利 學系  
5,  合作經濟,合作(VH) 經濟(Na),合作 經濟,    合作 經濟
6,  國際企業經營管理,國際(Nc) 企業(Na) 經營(VC) 管理(VC),國際 企業 經營 管理,    國際 企業 經營 管理
6,電子商務管理學系 ,電子(Na) 商務(Na) 管理(VC) 學系(Na),電子 商務 管理 學系,電子 商務 管理 學系  
6,企業管理系,企業(Na) 管理(Nc),企業 管理,企業 管理系
6,  企業管理,企業(Na) 管理(Na),企業 管理,    企業 管理
6,  會計,會計(Na),會計,    會計
6,企業管理,企業(Na) 管理(Na),企業 管理,企業 管理
6,企業管理系,企業(Na) 管理(Nc),企業 管理,企業 管理系
6,  資訊管理,資訊(Na) 管理(VC),資訊 管理,    資訊 管理
6,  會計,會計(Na),會計,    會計
