mainid,lastname,result,n_lastname,jeiba_lastname
2,成人教育學系,成人(Na) 教育(Na) 學系(Na),成人 教育 學系,成人教育 學系
2,成人及繼續教育學系,成人(Na) 繼續(VF) 教育(Na) 學系(Na),成人 繼續 教育 學系,成人 及 繼續 教育 學系
2,高齡者教育研究所,高齡(Na) 教育(Na) 研究所(Nc),高齡 教育 研究所,高齡者 教育 研究所
2,職業繼續教育研究所,職業(Na) 繼續(VF) 教育(Na) 研究所(Nc),職業 繼續 教育 研究所,職業 繼續 教育 研究所
2,教育人力資源與發展學系,教育(Na) 人力(Na) 資源(Na) 發展(Nv) 學系(Na),教育 人力 資源 發展 學系,教育 人力 資源 與 發展 學系
2,成人及社區教育學系,成人(Na) 社區(Nc) 教育(Na) 學系(Na),成人 社區 教育 學系,成人 及 社區 教育 學系
2,終身學習與人力資源發展碩士學位學程,學習(VC) 人力(Na) 資源(Na) 發展(VC) 碩士(Na) 學位(Na) 學程(Na),學習 人力 資源 發展 碩士 學位 學程,終身 學習 與 人力 資源 發展 碩士 學位 學程
2,成人教育與人力發展學系,成人(Na) 教育(Na) 人力(Na) 發展(VC) 學系(Na),成人 教育 人力 發展 學系,成人教育 與 人力 發展 學系
2,特殊教育學系,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系
2,身心障礙者轉銜及休閒教育研究所,身心(Na) 障礙(Na) 轉銜(VC) 休閒(Nv) 教育(Na) 研究所(Nc),身心 障礙 轉銜 休閒 教育 研究所,身心 障礙者 轉銜 及 休閒 教育 研究所
2,身心障礙教育研究所,身心(Na) 障礙(Na) 教育(Na) 研究所(Nc),身心 障礙 教育 研究所,身心 障礙 教育 研究所
2,重度障礙研究所,障礙(Na) 研究所(Nc),障礙 研究所,重度 障礙 研究所
2,輔助科技研究所,輔助(VC) 科技(Na) 研究所(Nc),輔助 科技 研究所,輔助 科技 研究所
2,特殊教育與輔助科技研究所,特殊(VH) 教育(Na) 輔助(VC) 科技(Na) 研究所(Nc),特殊 教育 輔助 科技 研究所,特殊教育 與 輔助 科技 研究所
2,創造思考暨資賦優異教育研究所,創造(VC) 思考(VE) 資賦(Na) 優異(VH) 教育(Na) 研究所(Nc),創造 思考 資賦 優異 教育 研究所,創造 思考 暨 資賦 優異 教育 研究所
2,資賦優異研究所,資賦(Na) 優異(VH) 研究所(Nc),資賦 優異 研究所,資賦 優異 研究所
2,溝通障礙教育研究所,溝通(VC) 障礙(Na) 教育(Na) 研究所(Nc),溝通 障礙 教育 研究所,溝通 障礙 教育 研究所
2,輕度障礙教育研究所,障礙(Na) 教育(Na) 研究所(Nc),障礙 教育 研究所,輕度 障礙 教育 研究所
2,教育行政與政策學系,教育(Na) 行政(Na) 政策(Na) 學系(Na),教育 行政 政策 學系,教育 行政 與 政策 學系
2,教育行政研究所,教育(Na) 行政(Na) 研究所(Nc),教育 行政 研究所,教育 行政 研究所
2,教育行政與政策發展研究所,教育(Na) 行政(Na) 政策(Na) 發展(Na) 研究所(Nc),教育 行政 政策 發展 研究所,教育 行政 與 政策 發展 研究所
2,教育行政與評鑑研究所,教育(Na) 行政(Na) 評鑑(VC) 研究所(Nc),教育 行政 評鑑 研究所,教育 行政 與 評鑑 研究所
2,教育政策與行政學系,教育(Na) 政策(Na) 行政學系(Na),教育 政策 行政學系,教育 政策 與 行政 學系
2,教育政策與管理研究所,教育(Na) 政策(Na) 管理(Na) 研究所(Nc),教育 政策 管理 研究所,教育 政策 與 管理 研究所
2,教育政策與領導研究所,教育(Na) 政策(Na) 領導(VC) 研究所(Nc),教育 政策 領導 研究所,教育 政策 與 領導 研究所
2,教育經營與管理學系,教育(Na) 經營(Nv) 管理(VC) 學系(Na),教育 經營 管理 學系,教育 經營 與 管理 學系
2,教育領導與發展研究所,教育(Na) 領導(Na) 發展(Na) 研究所(Nc),教育 領導 發展 研究所,教育 領導 與 發展 研究所
2,學校行政碩士,學校(Nc) 行政(Na) 碩士(Na),學校 行政 碩士,學校 行政 碩士
2,教育行政與管理學系,教育(Na) 行政(Na) 管理(Na) 學系(Na),教育 行政 管理 學系,教育 行政 與 管理 學系
2,教育領導與評鑑研究所,教育(Na) 領導(Na) 評鑑(VC) 研究所(Nc),教育 領導 評鑑 研究所,教育 領導 與 評鑑 研究所
2,教育科技學系,教育(Na) 科技(Na) 學系(Na),教育 科技 學系,教育 科技 學系
2,教育傳播與科技研究所,教育(Na) 傳播(Na) 科技(Na) 研究所(Nc),教育 傳播 科技 研究所,教育 傳播 與 科技 研究所
2,教學科技研究所,教學(Nv) 科技(Na) 研究所(Nc),教學 科技 研究所,教學 科技 研究所
2,學習科技學系,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,學習 科技 學系
2,數位學習科技學系,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,數位 學習 科技 學系
2,網路學習科技研究所,網路(Na) 學習(VC) 科技(Na) 研究所(Nc),網路 學習 科技 研究所,網路 學習 科技 研究所
2,數位學習學系,學習(VC) 學系(Na),學習 學系,數位 學習 學系
2,數位學習設計與管理學系,學習(VC) 設計(Na) 管理(Na) 學系(Na),學習 設計 管理 學系,數位 學習 設計 與 管理 學系
2,教育資訊學系,教育(Na) 資訊(Na) 學系(Na),教育 資訊 學系,教育 資訊學系
2,教育資料科學學系,教育(Na) 資料(Na) 科學學(Na),教育 資料 科學學,教育 資料 科學學系
2,課程教學與科技研究所,課程(Na) 教學(VA) 科技(Na) 研究所(Nc),課程 教學 科技 研究所,課程 教學 與 科技 研究所
2,學習與數位科技學系教,學習(VC) 科技(Na) 學系(Na),學習 科技 學系,學習 與 數位 科技 學系教
2,教學專業發展碩士,教學(VA) 專業(VH) 發展(Na) 碩士(Na),教學 專業 發展 碩士,教學 專業 發展 碩士
2,數位學習與教育研究所,學習(VC) 教育(Na) 研究所(Nc),學習 教育 研究所,數位 學習 與 教育 研究所
2,數位媒體與文教產業學系,媒體(Na) 文教(Na) 產業(Na) 學系(Na),媒體 文教 產業 學系,數位 媒體 與 文教 產業 學系
2,學習與媒材設計學系,學習(VC) 媒材(Na) 設計(Na) 學系(Na),學習 媒材 設計 學系,學習 與 媒材 設計 學系
2,測驗統計研究所,測驗(Na) 統計(Na) 研究所(Nc),測驗 統計 研究所,測驗 統計 研究所
2,教育測驗統計研究所,教育(Na) 測驗(Na) 統計(Na) 研究所(Nc),教育 測驗 統計 研究所,教育 測驗 統計 研究所
2,教育心裡與輔導研究所,教育(Na) 輔導(VC) 研究所(Nc),教育 輔導 研究所,教育 心裡 與 輔導 研究所
2,家庭教育研究所,家庭(Na) 教育(Na) 研究所(Nc),家庭 教育 研究所,家庭教育 研究所
2,性別教育研究所,性別(Na) 教育(Na) 研究所(Nc),性別 教育 研究所,性別 教育 研究所
2,生命教育研究所,生命(Na) 教育(Na) 研究所(Nc),生命 教育 研究所,生命 教育 研究所
2,生命教育與健康促進研究所,生命(Na) 教育(Na) 健康(Nv) 促進(VK) 研究所(Nc),生命 教育 健康 促進 研究所,生命 教育 與 健康 促進 研究所
2,休閒教育研究所,休閒(Nv) 教育(Na) 研究所(Nc),休閒 教育 研究所,休閒 教育 研究所
2,國際人力教育與發展研究所,國際(Nc) 人力(Na) 教育(Na) 發展(Na) 研究所(Nc),國際 人力 教育 發展 研究所,國際 人力 教育 與 發展 研究所
2,教育學院,教育(Na) 學院(Nc),教育 學院,教育 學院
2,教學視導學位學程,教學(VA) 視導(Na) 學位(Na) 學程(Na),教學 視導 學位 學程,教學視 導學位 學程
2,科技應用與人力資源發展學系,科技(Na) 應用(Na) 人力(Na) 資源(Na) 發展(VC) 學系(Na),科技 應用 人力 資源 發展 學系,科技 應用 與 人力 資源 發展 學系
2,教育視導與評鑑學位學程,教育(Na) 視導(Na) 評鑑(VC) 學位(Na) 學程(Na),教育 視導 評鑑 學位 學程,教育 視導 與 評鑑 學位 學程
3,美術學系,美術(Nc) 學系(Na),美術 學系,美術 學系
3,美術史研究所,美術史(Na) 研究所(Nc),美術史 研究所,美術史 研究所
3,版畫藝術研究所,版畫(Na) 藝術(Na) 研究所(Nc),版畫 藝術 研究所,版畫 藝術 研究所
3,書畫藝術學系,書畫(Na) 藝術(Na) 學系(Na),書畫 藝術 學系,書畫 藝術 學系
3,美術產業學系,美術(Na) 產業(Na) 學系(Na),美術 產業 學系,美術 產業 學系
3,美術產業發展學系,美術(Na) 產業(Na) 發展(VC) 學系(Na),美術 產業 發展 學系,美術 產業 發展 學系
3,美學與視覺藝術學系,美學(Na) 視覺(Na) 藝術(Na) 學系(Na),美學 視覺 藝術 學系,美學 與 視覺 藝術 學系
3,美術與文創學系,美術(Na) 文創(Na) 學系(Na),美術 文創 學系,美術 與 文 創學系
3,雕塑學系,雕塑(Na) 學系(Na),雕塑 學系,雕塑 學系
3,美術工藝系,美術(Na) 工藝系(Nc),美術 工藝系,美術 工藝系
3,工藝設計學系,工藝(Na) 設計(Na) 學系(Na),工藝 設計 學系,工藝設 計學系
3,傳統工藝學系,傳統(VH) 工藝(Na) 學系(Na),傳統 工藝 學系,傳統 工藝學系
3,傳統工藝與創意設計學系,傳統(VH) 工藝(Na) 創意(Na) 設計(Na) 學系(Na),傳統 工藝 創意 設計 學系,傳統 工藝 與 創意 設計 學系
3,工藝學系,工藝學系(Na),工藝學系,工藝學系
3,音樂學系,音樂(Na) 學系(Na),音樂 學系,音樂學系
3,中國音樂學系,中國(Nc) 音樂(Na) 學系(Na),中國 音樂 學系,中國 音樂學系
3,西洋音樂學系,西洋(Nc) 音樂(Na) 學系(Na),西洋 音樂 學系,西洋 音樂學系
3,音樂應用學系,音樂(Na) 應用(Na) 學系(Na),音樂 應用 學系,音樂 應用 學系
3,應用音樂學系,應用(Na) 音樂(Na) 學系(Na),應用 音樂 學系,應用 音樂學系
3,民族音樂學系,民族(Na) 音樂(Na) 學系(Na),民族 音樂 學系,民族 音樂學系
3,戲曲音樂學系,戲曲(Na) 音樂(Na) 學系(Na),戲曲 音樂 學系,戲曲 音樂學系
3,傳統音樂學系,傳統(VH) 音樂(Na) 學系(Na),傳統 音樂 學系,傳統 音樂學系
3,管絃與擊樂研究所,管絃(Na) 擊樂(Na) 研究所(Nc),管絃 擊樂 研究所,管絃 與 擊樂 研究所
3,音樂藝術研究所,音樂(Na) 藝術(Na) 研究所(Nc),音樂 藝術 研究所,音樂 藝術 研究所
3,音樂表演與創作研究所,音樂(Na) 表演(Na) 創作(Na) 研究所(Nc),音樂 表演 創作 研究所,音樂 表演 與 創作 研究所
3,鋼琴合作藝術研究所,鋼琴(Na) 合作(VH) 藝術(Na) 研究所(Nc),鋼琴 合作 藝術 研究所,鋼琴 合作 藝術 研究所
3,鋼琴伴奏合作藝術研究所,鋼琴(Na) 伴奏(VA) 合作(VH) 藝術(Na) 研究所(Nc),鋼琴 伴奏 合作 藝術 研究所,鋼琴 伴奏 合作 藝術 研究所
3,戲劇學系,戲劇學系(Na),戲劇學系,戲劇 學系
3,中國戲劇學系,中國(Nc) 戲劇(Na) 學系(Na),中國 戲劇 學系,中國戲 劇學系
3,歌仔戲學系,歌仔戲(Na) 學系(Na),歌仔戲 學系,歌仔 戲學系
3,京劇學系,京劇(Na) 學系(Na),京劇 學系,京劇 學系
3,客家戲學系,客家戲(Na) 學系(Na),客家戲 學系,客家 戲學系
3,劇場藝術學系,劇場(Nc) 藝術(Na) 學系(Na),劇場 藝術 學系,劇場 藝術 學系
3,劇場藝術創作學系,劇場(Nc) 藝術(Na) 創作(VC) 學系(Na),劇場 藝術 創作 學系,劇場 藝術 創作 學系
3,劇場設計學系,劇場(Nc) 設計(Na) 學系(Na),劇場 設計 學系,劇場 設計 學系
3,戲劇與劇場應用學系,戲劇(Na) 劇場(Nc) 應用(Na) 學系(Na),戲劇 劇場 應用 學系,戲劇 與 劇場 應用 學系
3,劇本創作研究所,劇本(Na) 創作(VC) 研究所(Nc),劇本 創作 研究所,劇本 創作 研究所
3,戲劇創作與應用學系,戲劇(Na) 創作(VC) 應用(Na) 學系(Na),戲劇 創作 應用 學系,戲劇 創作 與 應用 學系
3,舞蹈學系,舞蹈(Na) 學系(Na),舞蹈 學系,舞蹈 學系
3,休閒舞蹈系,休閒(VA) 舞蹈系(Nc),休閒 舞蹈系,休閒 舞蹈系
3,舞蹈表演研究所,舞蹈(Na) 表演(Na) 研究所(Nc),舞蹈 表演 研究所,舞蹈 表演 研究所
3,舞蹈創作研究所,舞蹈(Na) 創作(Na) 研究所(Nc),舞蹈 創作 研究所,舞蹈 創作 研究所
3,舞蹈理論研究所,舞蹈(Na) 理論(Na) 研究所(Nc),舞蹈 理論 研究所,舞蹈 理論 研究所
3,兒童戲劇研究所,兒童(Na) 戲劇(Na) 研究所(Nc),兒童 戲劇 研究所,兒童 戲劇 研究所
3,戲曲研究所,戲曲(Na) 研究所(Nc),戲曲 研究所,戲曲 研究所
3,舞蹈表演創作研究所,舞蹈(Na) 表演(Na) 創作(Na) 研究所(Nc),舞蹈 表演 創作 研究所,舞蹈 表演 創作 研究所
3,影劇藝術學系,藝術(Na) 學系(Na),藝術 學系,影劇 藝術 學系
3,模特兒與展演學系,模特兒(Na) 展演學系(Nv),模特兒 展演學系,模特 兒 與 展演 學系
3,電影學系,電影(Na) 學系(Na),電影 學系,電影 學系
3,電影創作學系,電影(Na) 創作(Na) 學系(Na),電影 創作 學系,電影 創作 學系
3,電影創作研究所,電影(Na) 創作(Na) 研究所(Nc),電影 創作 研究所,電影 創作 研究所
3,音像記錄研究所,音像(Na) 記錄(Na) 研究所(Nc),音像 記錄 研究所,音像 記錄 研究所
3,音像紀錄與影像維護研究所,音像(Na) 紀錄(Na) 影像(Na) 維護(Nv) 研究所(Nc),音像 紀錄 影像 維護 研究所,音像 紀錄 與 影像 維護 研究所
3,視覺藝術學系,視覺(Na) 藝術(Na) 學系(Na),視覺 藝術 學系,視覺 藝術 學系
3,音像動畫研究所,音像(Na) 動畫(Na) 研究所(Nc),音像 動畫 研究所,音像 動畫 研究所
3,造形藝術學系,造形(Na) 藝術(Na) 學系(Na),造形 藝術 學系,造形 藝術 學系
3,影劇學系,影劇學系(Na),影劇學系,影劇 學系
3,視覺藝術應用系,視覺(Na) 藝術(Na) 應用(Na),視覺 藝術 應用,視覺 藝術 應用系
3,創意藝術產業研究所,創意(Na) 藝術(Na) 產業(Na) 研究所(Nc),創意 藝術 產業 研究所,創意 藝術 產業 研究所
3,動畫藝術與影像美學研究所,動畫(Na) 藝術(Na) 影像(Na) 美學(Na) 研究所(Nc),動畫 藝術 影像 美學 研究所,動畫 藝術 與 影像 美學 研究所
3,視覺與媒體藝術學系,視覺(Na) 媒體(Na) 藝術(Na) 學系(Na),視覺 媒體 藝術 學系,視覺 與 媒體 藝術 學系
3,動畫學系,動畫(Na) 學系(Na),動畫 學系,動畫 學系
3,電影與電視學系,電影(Na) 電視(Na) 學系(Na),電影 電視 學系,電影 與 電視 學系
3,藝術學系,藝術(Na) 學系(Na),藝術 學系,藝術 學系
3,文化藝術學系,文化(Na) 藝術(Na) 學系(Na),文化 藝術 學系,文化 藝術 學系
3,藝術史學系,藝術史(Na) 學系(Na),藝術史 學系,藝術史 學系
3,藝術史與藝術評論研究所,藝術史(Na) 藝術(Na) 評論(Na) 研究所(Nc),藝術史 藝術 評論 研究所,藝術史 與 藝術 評論 研究所
3,環境與藝術研究所,環境(Na) 藝術(Na) 研究所(Nc),環境 藝術 研究所,環境 與 藝術 研究所
3,古蹟藝術修護學系,古蹟(Na) 藝術(Na) 修護(VC) 學系(Na),古蹟 藝術 修護 學系,古 蹟 藝術 修護 學系
3,音樂與表演藝術系,音樂(Na) 表演(VC) 藝術系(Na),音樂 表演 藝術系,音樂 與 表演 藝術系
3,表演藝術系,表演(VC) 藝術系(Na),表演 藝術系,表演 藝術系
3,跨領域藝術研究所,領域(Na) 藝術(Na) 研究所(Nc),領域 藝術 研究所,跨 領域 藝術 研究所
3,藝術與設計學系,藝術(Na) 設計(Na) 學系(Na),藝術 設計 學系,藝術 與 設計 學系
3,藝術與創意設計學系,藝術(Na) 創意(Na) 設計(Na) 學系(Na),藝術 創意 設計 學系,藝術 與 創意 設計 學系
3,藝術創意與發展學系,藝術(Na) 創意(Na) 發展(VC) 學系(Na),藝術 創意 發展 學系,藝術 創意 與 發展 學系
3,藝術創作理論研究所,藝術(Na) 創作(Na) 理論(Na) 研究所(Nc),藝術 創作 理論 研究所,藝術 創作 理論 研究所
3,音樂舞蹈學系,音樂(Na) 舞蹈(Na) 學系(Na),音樂 舞蹈 學系,音樂 舞蹈 學系
3,書法藝術研究所,書法(Na) 藝術(Na) 研究所(Nc),書法 藝術 研究所,書法 藝術 研究所
3,動態藝術學系,動態(Na) 藝術(Na) 學系(Na),動態 藝術 學系,動態 藝術 學系
3,藝術跨域研究所,藝術(Na) 研究所(Nc),藝術 研究所,藝術 跨域 研究所
3,藝術創意產業學系,藝術(Na) 創意(Na) 產業(Na) 學系(Na),藝術 創意 產業 學系,藝術 創意 產業 學系
3,民俗藝術研究所,民俗(Na) 藝術(Na) 研究所(Nc),民俗 藝術 研究所,民俗 藝術 研究所
3,民俗技藝學系,民俗(Na) 技藝(Na) 學系(Na),民俗 技藝 學系,民俗 技藝學系
3,傳統藝術研究所,傳統(VH) 藝術(Na) 研究所(Nc),傳統 藝術 研究所,傳統 藝術 研究所
3,民族藝術學系,民族(Na) 藝術(Na) 學系(Na),民族 藝術 學系,民族 藝術 學系
3,應用藝術學系,應用(Na) 藝術(Na) 學系(Na),應用 藝術 學系,應用 藝術 學系
3,應用藝術與設計學系,應用(Na) 藝術(Na) 設計(Na) 學系(Na),應用 藝術 設計 學系,應用 藝術 與 設計 學系
3,多媒體動畫藝術學系,多媒體(Na) 動畫(Na) 藝術(Na) 學系(Na),多媒體 動畫 藝術 學系,多媒體 動畫 藝術 學系
3,應用媒體藝術學系,應用(Na) 媒體(Na) 藝術(Na) 學系(Na),應用 媒體 藝術 學系,應用 媒體 藝術 學系
3,新媒體藝術學系,媒體(Na) 藝術(Na) 學系(Na),媒體 藝術 學系,新媒體 藝術 學系
3,藝術治療研究所,藝術(Na) 治療(VC) 研究所(Nc),藝術 治療 研究所,藝術 治療 研究所
3,科技藝術研究所,科技(Na) 藝術(Na) 研究所(Nc),科技 藝術 研究所,科技 藝術 研究所
