mainid,lastname,result,n_lastname,jeiba_lastname,n_lastname_2,n,N,k
2,  幼兒教育,幼兒(Na) 教育(Na),幼兒 教育,    幼兒 教育,幼兒 教育,72,96,0
2,  工業教育,工業(Na) 教育(Na),工業 教育,    工業 教育,工業 教育,73,96,0
2,  體育,體育(Na),體育,    體育,體育,74,96,0
2,工業教育,工業(Na) 教育(Na),工業 教育,工業 教育,工業 教育,75,96,0
2,  教育,教育(Na),教育,    教育,教育,76,96,0
2,  特殊教育系,特殊(VH) 教育系(Nc),特殊 教育系,    特殊教育 系,特殊 教育系,77,96,0
2,  社會教育學系社工組,社會(Na) 教育(Na) 學系(Na) 社工組(Na),社會 教育 學系 社工組,    社會 教育 學系 社工 組,社會 教育 學系 社工組,78,96,0
2,教育政策與行政學系,教育(Na) 政策(Na) 行政學系(Na),教育 政策 行政學系,教育 政策 與 行政 學系,教育 政策 行政學系,79,96,0
2,數位學習設計管理學系 ,學習(VC) 設計(Na) 管理(Na) 學系(Na),學習 設計 管理 學系,數位 學習 設計 管理 學系  ,學習 設計 管理 學系,80,96,0
2,  社會科教育學,社會科(Na) 教育學(Na),社會科 教育學,    社會科 教育 學,社會科 教育學,81,96,0
2,教育學系,教育(Na) 學系(Na),教育 學系,教育 學系,教育 學系,82,96,0
2,  特殊教育,特殊(VH) 教育(Na),特殊 教育,    特殊教育,特殊 教育,83,96,0
2,  幼保,,幼保,    幼保,,84,96,0
2,  幼保,,幼保,    幼保,,85,96,0
2,  幼保,,幼保,    幼保,,86,96,0
2,幼兒敎育學系,幼兒(Na) 敎育(Nv) 學系(Na),幼兒 敎育 學系,幼兒 敎 育學系,幼兒 敎育 學系,87,96,0
2,  英語,英語(Na),英語,    英語,英語,88,96,0
2,特殊教育學,特殊(VH) 教育(Na),特殊 教育,特殊教育 學,特殊 教育,89,96,0
2,幼兒教育系,幼兒(Na) 教育(Nc),幼兒 教育,幼兒 教育系,幼兒 教育,90,96,0
2,  幼保,,幼保,    幼保,,91,96,0
2,特殊教育學系,特殊(VH) 教育(Na) 學系(Na),特殊 教育 學系,特殊教育 學系,特殊 教育 學系,92,96,0
2,體育系,體育系(Nc),體育系,體育系,體育系,93,96,0
2,  數理教育,數理(Na) 教育(Na),數理 教育,    數理 教育,數理 教育,94,96,0
2,教育行政系,教育(Na) 行政系(Na),教育 行政系,教育 行政 系,教育 行政系,95,96,0
2,人類發展與家庭學系 ,人類(Na) 發展(VC) 家庭學系(Na),人類 發展 家庭學系,人類 發展 與 家庭 學系  ,人類 發展 家庭學系,96,96,0
3,商業設計 ,商業(Na) 設計(Na),商業 設計,商業 設計  ,商業 設計,50,190,0
3,  工業設計,工業(Na) 設計(Na),工業 設計,    工業 設計,工業 設計,51,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,52,190,0
3,室內設計系,設計(Nc),設計,室內 設計系,設計,53,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,54,190,0
3,室內設計 ,設計(Na),設計,室內 設計  ,設計,55,190,0
3,視覺傳達設計系 ,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系  ,視覺 傳達 設計系,56,190,0
3,  戲劇,戲劇(Na),戲劇,    戲劇,戲劇,57,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,58,190,0
3,視覺傳達設計系 ,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系  ,視覺 傳達 設計系,59,190,0
3,美術工藝系,美術(Na) 工藝系(Nc),美術 工藝系,美術 工藝系,美術 工藝系,60,190,0
3,數位媒体設計系,媒体(Na) 設計系(Na),媒体 設計系,數位 媒体 設計系,媒体 設計系,61,190,0
3,商業設計系 ,商業(Na) 設計系(Nc),商業 設計系,商業 設計系  ,商業 設計系,62,190,0
3,  商品設計,商品(Na) 設計(Na),商品 設計,    商品 設計,商品 設計,63,190,0
3,工商業設計,工商業(Na) 設計(Na),工商業 設計,工商 業設計,工商業 設計,64,190,0
3,數位媒體,媒體(Na),媒體,數位 媒體,媒體,65,190,0
3,  視覺傳播,視覺(Na) 傳播(VC),視覺 傳播,    視覺 傳播,視覺 傳播,66,190,0
3,  產品設計,產品(Na) 設計(Na),產品 設計,    產品 設計,產品 設計,67,190,0
3,設計系,設計系(Nc),設計系,設計系,設計系,68,190,0
3,商品設計系,商品(Na) 設計(Nc),商品 設計,商品 設計系,商品 設計,69,190,0
3,數位美體管理學系,美體(Na) 管理(VC) 學系(Na),美體 管理 學系,數位 美體 管理 學系,美體 管理 學系,70,190,0
3,藝術學,藝術學(Na),藝術學,藝術學,藝術學,71,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,72,190,0
3,流行工藝設計,流行(VH) 工藝(Na) 設計(Na),流行 工藝 設計,流行 工藝 設計,流行 工藝 設計,73,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,74,190,0
3,數位遊戲與動畫設計,遊戲(Na) 動畫(Na) 設計(Na),遊戲 動畫 設計,數位 遊戲 與 動畫 設計,遊戲 動畫 設計,75,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,76,190,0
3,  多媒體設計,多媒體(Na) 設計(Na),多媒體 設計,    多媒體 設計,多媒體 設計,77,190,0
3,室內設計,設計(Na),設計,室內 設計,設計,78,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,79,190,0
3,  教會音樂,教會(Nc) 音樂(Na),教會 音樂,    教會 音樂,教會 音樂,80,190,0
3,  室內設計,設計(Na),設計,    室內 設計,設計,81,190,0
3,時尚造型設計,時尚(Na) 造型(Na) 設計(Na),時尚 造型 設計,時尚 造型 設計,時尚 造型 設計,82,190,0
3,創意生活設計,創意(Na) 生活(Na) 設計(Na),創意 生活 設計,創意 生活 設計,創意 生活 設計,83,190,0
3,音樂應用學系,音樂(Na) 應用(Na) 學系(Na),音樂 應用 學系,音樂 應用 學系,音樂 應用 學系,84,190,0
3,視覺傳達系,視覺(Na) 傳達(VD),視覺 傳達,視覺 傳達系,視覺 傳達,85,190,0
3,  音樂,音樂(Na),音樂,    音樂,音樂,86,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,87,190,0
3,  室內設計,設計(Na),設計,    室內 設計,設計,88,190,0
3,空間設計,空間(Na) 設計(Na),空間 設計,空間 設計,空間 設計,89,190,0
3,  音樂,音樂(Na),音樂,    音樂,音樂,90,190,0
3,商業設計,商業(Na) 設計(Na),商業 設計,商業 設計,商業 設計,91,190,0
3,數位媒體設計系,媒體(Na) 設計系(Na),媒體 設計系,數位 媒體 設計系,媒體 設計系,92,190,0
3,  視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,    視覺 傳達 設計,視覺 傳達 設計,93,190,0
3,動畫,動畫(Na),動畫,動畫,動畫,94,190,0
3,工業設計系,工業(Na) 設計系(Nc),工業 設計系,工業 設計系,工業 設計系,95,190,0
3,產品設計系,產品(Na) 設計系(Nc),產品 設計系,產品 設計系,產品 設計系,96,190,0
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達,視覺 傳達,97,190,0
3,視學傳達設計系,傳達(VD) 設計系(Nc),傳達 設計系,視學 傳達 設計系,傳達 設計系,98,190,0
3,視覺傳達設計學系 ,視覺(Na) 傳達(VD) 設計(Na) 學系(Na),視覺 傳達 設計 學系,視覺 傳達設 計學系  ,視覺 傳達 設計 學系,99,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,100,190,0
3,創新產品設計系,創新(VC) 產品(Na) 設計系(Nc),創新 產品 設計系,創新產品 設計系,創新 產品 設計系,101,190,0
3,  時覺傳達,時覺(Ng) 傳達(VD),時覺 傳達,    時覺 傳達,時覺 傳達,102,190,0
3,商品設計系,商品(Na) 設計(Nc),商品 設計,商品 設計系,商品 設計,103,190,0
3,  媒體傳達設計,媒體(Na) 傳達(VD) 設計(Na),媒體 傳達 設計,    媒體 傳達 設計,媒體 傳達 設計,104,190,0
3,  音樂,音樂(Na),音樂,    音樂,音樂,105,190,0
3,時尚設計與管理,時尚(Na) 設計(Na) 管理(Na),時尚 設計 管理,時尚 設計 與 管理,時尚 設計 管理,106,190,0
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達,視覺 傳達,107,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,108,190,0
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計,視覺 傳達 設計,109,190,0
3,數位媒體設計系,媒體(Na) 設計系(Na),媒體 設計系,數位 媒體 設計系,媒體 設計系,110,190,0
3,劇場藝術科,劇場(Nc) 藝術科(Na),劇場 藝術科,劇場 藝術科,劇場 藝術科,111,190,0
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達,視覺 傳達,112,190,0
3,視覺傳達系,視覺(Na) 傳達(VD),視覺 傳達,視覺 傳達系,視覺 傳達,113,190,0
3,美術系,美術系(Nc),美術系,美術系,美術系,114,190,0
3,美術產業學,美術(Na) 產業(Na),美術 產業,美術 產業學,美術 產業,115,190,0
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計,視覺 傳達 設計,116,190,0
3,媒體設計學系,媒體(Na) 設計(Na) 學系(Na),媒體 設計 學系,媒體 設計 學系,媒體 設計 學系,117,190,0
3,視傳系,,視傳系,視傳系,,118,190,0
3,工業設計學系,工業(Na) 設計(Na) 學系(Na),工業 設計 學系,工業 設計 學系,工業 設計 學系,119,190,0
3,  產品設計,產品(Na) 設計(Na),產品 設計,    產品 設計,產品 設計,120,190,0
3,  美術,美術(Na),美術,    美術,美術,121,190,0
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計,視覺 傳達 設計,122,190,0
3,視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計,視覺 傳達 設計,123,190,0
3,視覺傳達一視覺傳達設計,視覺(Na) 傳達(VD) 視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 視覺 傳達 設計,視覺 傳達 一視覺 傳達 設計,視覺 傳達 視覺 傳達 設計,124,190,0
3,遊戲動化學程系 ,遊戲(Na) 動化(VHC) 學程(Nc),遊戲 動化 學程,遊戲 動化 學程系  ,遊戲 動化 學程,125,190,0
3,流行設計系,流行(VH) 設計系(Nc),流行 設計系,流行 設計系,流行 設計系,126,190,0
3,  工業設計,工業(Na) 設計(Na),工業 設計,    工業 設計,工業 設計,127,190,0
3,  音樂,音樂(Na),音樂,    音樂,音樂,128,190,0
3,視覺傳達設計名,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,視覺 傳達 設計名,視覺 傳達 設計,129,190,0
3,多媒體動畫藝術,多媒體(Na) 動畫(Na) 藝術(Na),多媒體 動畫 藝術,多媒體 動畫 藝術,多媒體 動畫 藝術,130,190,0
3,情報設計系(台灣算平面設計),情報(Na) 設計系(Nc) 台灣(Nc) 平面(Na) 設計(Na),情報 設計系 台灣 平面 設計,情報 設計系 ( 台灣算 平面 設計 ),情報 設計系 台灣 平面 設計,131,190,0
3,  美術,美術(Na),美術,    美術,美術,132,190,0
3,視覺傳達設計系,視覺(Na) 傳達(VD) 設計系(Nc),視覺 傳達 設計系,視覺 傳達 設計系,視覺 傳達 設計系,133,190,0
3,數位媒體設計系,媒體(Na) 設計系(Na),媒體 設計系,數位 媒體 設計系,媒體 設計系,134,190,0
3,工業設計學系,工業(Na) 設計(Na) 學系(Na),工業 設計 學系,工業 設計 學系,工業 設計 學系,135,190,0
3,電影電視系,電影(Na) 電視系(Nc),電影 電視系,電影 電視系,電影 電視系,136,190,0
3,  流行設計,流行(VH) 設計(Na),流行 設計,    流行 設計,流行 設計,137,190,0
3,  建築,建築(Na),建築,    建築,建築,138,190,0
3,創意產品與遊戲設計,創意(Na) 產品(Na) 遊戲(Na) 設計(Na),創意 產品 遊戲 設計,創意 產品 與 遊戲 設計,創意 產品 遊戲 設計,139,190,0
3,  數位傳播設計,傳播(VC) 設計(Na),傳播 設計,    數位 傳播 設計,傳播 設計,140,190,0
3,工商業設計系,工商業(Na) 設計系(Nc),工商業 設計系,工商 業設 計系,工商業 設計系,141,190,0
3,  工業設計,工業(Na) 設計(Na),工業 設計,    工業 設計,工業 設計,142,190,0
3,工藝設計 ,工藝(Na) 設計(Na),工藝 設計,工藝 設計  ,工藝 設計,143,190,0
3,時尚造型學系,時尚(Na) 造型(Na) 學系(Na),時尚 造型 學系,時尚 造型 學系,時尚 造型 學系,144,190,0
3,  視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,    視覺 傳達 設計,視覺 傳達 設計,145,190,0
3,  工藝設計,工藝(Na) 設計(Na),工藝 設計,    工藝 設計,工藝 設計,146,190,0
3,視覺傳達系,視覺(Na) 傳達(VD),視覺 傳達,視覺 傳達系,視覺 傳達,147,190,0
3,視覺傳達設計學系,視覺(Na) 傳達(VD) 設計(Na) 學系(Na),視覺 傳達 設計 學系,視覺 傳達設 計學系,視覺 傳達 設計 學系,148,190,0
3,劇場藝術學系,劇場(Nc) 藝術(Na) 學系(Na),劇場 藝術 學系,劇場 藝術 學系,劇場 藝術 學系,149,190,0
3,空内設計科,空内(Na) 設計(Na),空内 設計,空内 設計科,空内 設計,150,190,0
3,藝術與設計,藝術(Na) 設計(Na),藝術 設計,藝術 與 設計,藝術 設計,151,190,0
3,動畫學系,動畫(Na) 學系(Na),動畫 學系,動畫 學系,動畫 學系,152,190,0
3,傳統音樂學系 ,傳統(VH) 音樂(Na) 學系(Na),傳統 音樂 學系,傳統 音樂學系  ,傳統 音樂 學系,153,190,0
3,  美術,美術(Na),美術,    美術,美術,154,190,0
3,  視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,    視覺 傳達 設計,視覺 傳達 設計,155,190,0
3,視傳系商品設計組,傳系(Na) 商品(Na) 設計組(Nc),傳系 商品 設計組,視傳系 商品 設計組,傳系 商品 設計組,156,190,0
3,中國音樂學系,中國(Nc) 音樂(Na) 學系(Na),中國 音樂 學系,中國 音樂學系,中國 音樂 學系,157,190,0
3,創意產品設計系,創意(Na) 產品(Na) 設計系(Nc),創意 產品 設計系,創意 產品 設計系,創意 產品 設計系,158,190,0
3,空間設計,空間(Na) 設計(Na),空間 設計,空間 設計,空間 設計,159,190,0
3,戲劇,戲劇(Na),戲劇,戲劇,戲劇,160,190,0
3,  音樂,音樂(Na),音樂,    音樂,音樂,161,190,0
3,  應用美術,應用(Na) 美術(Na),應用 美術,    應用 美術,應用 美術,162,190,0
3,音樂學系,音樂(Na) 學系(Na),音樂 學系,音樂學系,音樂 學系,163,190,0
3,  視覺傳達設計,視覺(Na) 傳達(VD) 設計(Na),視覺 傳達 設計,    視覺 傳達 設計,視覺 傳達 設計,164,190,0
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達,視覺 傳達,165,190,0
3,音樂系,音樂系(Nc),音樂系,音樂系,音樂系,166,190,0
3,  視覺傳達,視覺(Na) 傳達(VD),視覺 傳達,    視覺 傳達,視覺 傳達,167,190,0
3,工業設計 ,工業(Na) 設計(Na),工業 設計,工業 設計  ,工業 設計,168,190,0
3,工業設計,工業(Na) 設計(Na),工業 設計,工業 設計,工業 設計,169,190,0
3,視覺傳達設計科技系 ,視覺(Na) 傳達(VD) 設計(VC) 科技系(Na),視覺 傳達 設計 科技系,視覺 傳達 設計 科技 系  ,視覺 傳達 設計 科技系,170,190,0
3,數位媒體設計學系,媒體(Na) 設計(Na) 學系(Na),媒體 設計 學系,數位 媒體 設計 學系,媒體 設計 學系,171,190,0
3,  媒體設計,媒體(Na) 設計(Na),媒體 設計,    媒體 設計,媒體 設計,172,190,0
3,造形藝術學系,造形(Na) 藝術(Na) 學系(Na),造形 藝術 學系,造形 藝術 學系,造形 藝術 學系,173,190,0
3,創意產品科技應用系,創意(Na) 產品(Na) 科技(Na) 應用(Na),創意 產品 科技 應用,創意 產品 科技 應用系,創意 產品 科技 應用,174,190,0
3,視覺傳達科 ,視覺(Na) 傳達(VD),視覺 傳達,視覺 傳達科  ,視覺 傳達,175,190,0
3,商業設計系,商業(Na) 設計系(Nc),商業 設計系,商業 設計系,商業 設計系,176,190,0
3,時尚創意設計與管理,時尚(Na) 創意(Na) 設計(Na) 管理(Na),時尚 創意 設計 管理,時尚 創意 設計 與 管理,時尚 創意 設計 管理,177,190,0
3,電影系 ,電影系(Nc),電影系,電影系  ,電影系,178,190,0
3,  美術工藝,美術(Na) 工藝(Na),美術 工藝,    美術 工藝,美術 工藝,179,190,0
3,數位媒體 ,媒體(Na),媒體,數位 媒體  ,媒體,180,190,0
3,室內設計,設計(Na),設計,室內 設計,設計,181,190,0
3,建築與室內設計空間系,建築(Na) 設計(Na) 空間(Na),建築 設計 空間,建築 與 室 內 設計 空間 系,建築 設計 空間,182,190,0
3,舞蹈系,舞蹈系(Nc),舞蹈系,舞蹈系,舞蹈系,183,190,0
3,傳統工藝與創意設計,傳統(VH) 工藝(Na) 創意(Na) 設計(Na),傳統 工藝 創意 設計,傳統 工藝 與 創意 設計,傳統 工藝 創意 設計,184,190,0
3,商設系,商設系(Nc),商設系,商設系,商設系,185,190,0
3,產品與媒體設計系,產品(Na) 媒體(Na) 設計系(Na),產品 媒體 設計系,產品 與 媒體 設計系,產品 媒體 設計系,186,190,0
3,美術,美術(Na),美術,美術,美術,187,190,0
3,建築與室內設計系,建築(Na) 設計(Na),建築 設計,建築 與 室 內 設計系,建築 設計,188,190,0
3,表演藝術學士學位學程,表演(VC) 藝術(Na) 學士(Na) 學位(Na) 學程(Na),表演 藝術 學士 學位 學程,表演 藝術 學士 學位 學程,表演 藝術 學士 學位 學程,189,190,0
3,美術,美術(Na),美術,美術,美術,190,190,0
4,日文,日文(Na),日文,日文,日文,200,295,0
4,應用日語科系,應用(Na) 日語(Na) 科系(Na),應用 日語 科系,應用 日語 科系,應用 日語 科系,201,295,0
4,  外語,外語(Na),外語,    外語,外語,202,295,0
4,應用日語,應用(Na) 日語(Na),應用 日語,應用 日語,應用 日語,203,295,0
4,歷史學係,歷史學(Na),歷史學,歷史學 係,歷史學,204,295,0
4,  英文,英文(Na),英文,    英文,英文,205,295,0
4,  應用英文,應用(Na) 英文(Na),應用 英文,    應用 英文,應用 英文,206,295,0
4,中國文學,中國(Nc) 文學(Na),中國 文學,中國 文學,中國 文學,207,295,0
4,英文系,英文系(Nc),英文系,英文系,英文系,208,295,0
4,日文,日文(Na),日文,日文,日文,209,295,0
4,  應用英文,應用(Na) 英文(Na),應用 英文,    應用 英文,應用 英文,210,295,0
4,歐洲語文系,歐洲(Nc) 語文系(Nc),歐洲 語文系,歐洲 語文系,歐洲 語文系,211,295,0
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語,應用 外語,212,295,0
4,宗教,宗教(Na),宗教,宗教,宗教,213,295,0
4,臺灣文化學系,臺灣(Nc) 文化(Na) 學系(Na),臺灣 文化 學系,臺 灣 文化 學系,臺灣 文化 學系,214,295,0
4,  日文,日文(Na),日文,    日文,日文,215,295,0
4,韓國語文學系,韓國(Nc) 語文(Na) 學系(Na),韓國 語文 學系,韓國語 文學系,韓國 語文 學系,216,295,0
4,中文系 ,中文系(Nc),中文系,中文系  ,中文系,217,295,0
4,  日本與文學系,日本(Nc) 文學系(Nc),日本 文學系,    日本 與 文學系,日本 文學系,218,295,0
4,西班牙語文學系,西班牙語文(Nc) 學系(Na),西班牙語文 學系,西班牙 語文學系,西班牙語文 學系,219,295,0
4,中國語文學系,中國(Nc) 語文(Na) 學系(Na),中國 語文 學系,中國語 文學系,中國 語文 學系,220,295,0
4,國文系,國文系(Nc),國文系,國文系,國文系,221,295,0
4,英國文學,英國(Nc) 文學(Na),英國 文學,英國 文學,英國 文學,222,295,0
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系,應用 外語系,223,295,0
4,外國語文學系,外國(Nc) 語文(Na) 學系(Na),外國 語文 學系,外國語 文學系,外國 語文 學系,224,295,0
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系,應用 外語系,225,295,0
4,應用外文系,應用(Na) 外文系(Nc),應用 外文系,應用 外文系,應用 外文系,226,295,0
4,  嬰用外語,嬰用(Na) 外語(Na),嬰用 外語,    嬰用 外語,嬰用 外語,227,295,0
4,  英語學,英語(Na),英語,    英語學,英語,228,295,0
4,  應用日語,應用(Na) 日語(Na),應用 日語,    應用 日語,應用 日語,229,295,0
4,  中國文學,中國(Nc) 文學(Na),中國 文學,    中國 文學,中國 文學,230,295,0
4,應用外語系,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系,應用 外語系,231,295,0
4,歷史系,歷史系(Nc),歷史系,歷史系,歷史系,232,295,0
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語,應用 外語,233,295,0
4,英國語文 ,英國(Nc) 語文(Na),英國 語文,英國 語文  ,英國 語文,234,295,0
4,應用日文,應用(Na) 日文(Na),應用 日文,應用 日文,應用 日文,235,295,0
4,哲學系,哲學系(Nc),哲學系,哲學系,哲學系,236,295,0
4,英文,英文(Na),英文,英文,英文,237,295,0
4,應用外文系,應用(Na) 外文系(Nc),應用 外文系,應用 外文系,應用 外文系,238,295,0
4,  國文,國文(Na),國文,    國文,國文,239,295,0
4,英文系,英文系(Nc),英文系,英文系,英文系,240,295,0
4,歷史系,歷史系(Nc),歷史系,歷史系,歷史系,241,295,0
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語,應用 外語,242,295,0
4,外文系,外文系(Nc),外文系,外文系,外文系,243,295,0
4,外語系,外語系(Nc),外語系,外語系,外語系,244,295,0
4,  日文,日文(Na),日文,    日文,日文,245,295,0
4,英語系,英語系(Nc),英語系,英語系,英語系,246,295,0
4,應用外文,應用(Na) 外文(Na),應用 外文,應用 外文,應用 外文,247,295,0
4,哲學系 ,哲學系(Nc),哲學系,哲學系  ,哲學系,248,295,0
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系,應用 日文系,249,295,0
4,外文系,外文系(Nc),外文系,外文系,外文系,250,295,0
4,應用英語學系 ,應用(Na) 英語(Na) 學系(Na),應用 英語 學系,應用 英語 學系  ,應用 英語 學系,251,295,0
4,中文系,中文系(Nc),中文系,中文系,中文系,252,295,0
4,英美語文學系,美語(Nc) 文學系(Na),美語 文學系,英美 語文學系,美語 文學系,253,295,0
4,  英文,英文(Na),英文,    英文,英文,254,295,0
4,人類學系,人類學系(Nc),人類學系,人類 學系,人類學系,255,295,0
4,  應用外語,應用(Na) 外語(Na),應用 外語,    應用 外語,應用 外語,256,295,0
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系,應用 日文系,257,295,0
4,西班牙文,西班牙文(Na),西班牙文,西班牙文,西班牙文,258,295,0
4,  中文,中文(Na),中文,    中文,中文,259,295,0
4,應用中文,應用(Na) 中文(Na),應用 中文,應用 中文,應用 中文,260,295,0
4,西班牙語系,西班牙語系(Nc),西班牙語系,西班牙 語系,西班牙語系,261,295,0
4,哲學系 ,哲學系(Nc),哲學系,哲學系  ,哲學系,262,295,0
4,華語文學系,華語文(Nc) 學系(Na),華語文 學系,華語 文學系,華語文 學系,263,295,0
4,日文系,日文系(Nc),日文系,日文系,日文系,264,295,0
4,  外語,外語(Na),外語,    外語,外語,265,295,0
4,  英文,英文(Na),英文,    英文,英文,266,295,0
4,  應用外語系,應用(Na) 外語系(Nc),應用 外語系,    應用 外 語系,應用 外語系,267,295,0
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語,應用 外語,268,295,0
4,應用日文系,應用(Na) 日文系(Nc),應用 日文系,應用 日文系,應用 日文系,269,295,0
4,日本語文學系,日本(Nc) 語文(Na) 學系(Na),日本 語文 學系,日本 語文學系,日本 語文 學系,270,295,0
4,國文系,國文系(Nc),國文系,國文系,國文系,271,295,0
4,應用外語系 ,應用(Na) 外語系(Nc),應用 外語系,應用 外 語系  ,應用 外語系,272,295,0
4,英文系,英文系(Nc),英文系,英文系,英文系,273,295,0
4,英文系,英文系(Nc),英文系,英文系,英文系,274,295,0
4,應用英文系,應用(Na) 英文系(Nc),應用 英文系,應用 英文系,應用 英文系,275,295,0
4,  日本語文,日本(Nc) 語文(Na),日本 語文,    日本 語文,日本 語文,276,295,0
4,  日本語文,日本(Nc) 語文(Na),日本 語文,    日本 語文,日本 語文,277,295,0
4,日文,日文(Na),日文,日文,日文,278,295,0
4,英國語文 ,英國(Nc) 語文(Na),英國 語文,英國 語文  ,英國 語文,279,295,0
4,中文系,中文系(Nc),中文系,中文系,中文系,280,295,0
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語,應用 外語,281,295,0
4,  日文,日文(Na),日文,    日文,日文,282,295,0
4,  哲學,哲學(Na),哲學,    哲學,哲學,283,295,0
4,  德文,德文(Na),德文,    德文,德文,284,295,0
4,應用外語,應用(Na) 外語(Na),應用 外語,應用 外語,應用 外語,285,295,0
